"","X.1","X","remakes_title","remakes_year","originals_title","originals_year","yearsBetween","key","remakes_shortTitle","remakes_key","originals_shortTitle","originals_key"
"555",555,555,"Secret in Their Eyes (2015) dir. Billy Ray",2015,"El secreto de sus ojos (2009) dir. Juan J. Campanella
Based on the novel La pregunta de sus ojos by Eduardo Sacheri",2009,6,"Secret in Their Eyes (2015) dir. Billy Ray (2015)","Secret in Their Eyes ","Secret in Their Eyes (2015)","El secreto de sus ojos ","El secreto de sus ojos (2009)"
"556",556,556,"The Secret Life of Walter Mitty (2013) dir. Ben Stiller",2013,"The Secret Life of Walter Mitty (1947) dir. Norman Z. McLeod
Based on the short story by James Thurber",1947,66,"The Secret Life of Walter Mitty (2013) dir. Ben Stiller (2013)","The Secret Life of Walter Mitty ","The Secret Life of Walter Mitty (2013)","The Secret Life of Walter Mitty ","The Secret Life of Walter Mitty (1947)"
"557",557,557,"Secret of the Blue Room (1933) dir. Kurt Neumann",1933,"Geheimnis des blauen Zimmers (1932) dir. Erich Engels",1932,1,"Secret of the Blue Room (1933) dir. Kurt Neumann (1933)","Secret of the Blue Room ","Secret of the Blue Room (1933)","Geheimnis des blauen Zimmers ","Geheimnis des blauen Zimmers (1932)"
"558",558,558,"Sengoku jietai 1549 (2005)",2005,"Sengoku jietai 1549 (1979)",1979,26,"Sengoku jietai 1549 (2005) (2005)","Sengoku jietai 1549 ","Sengoku jietai 1549 (2005)","Sengoku jietai 1549 ","Sengoku jietai 1549 (1979)"
"559",559,559,"Senso '45 (2002) dir. Tinto Brass",2002,"Senso (1979) dir. Luchino Visconti",1979,23,"Senso '45 (2002) dir. Tinto Brass (2002)","Senso '45 ","Senso '45 (2002)","Senso ","Senso (1979)"
"560",560,560,"Seventh Heaven (1937) dir. Henry King",1937,"Seventh Heaven (1927) dir. Frank Borzage",1927,10,"Seventh Heaven (1937) dir. Henry King (1937)","Seventh Heaven ","Seventh Heaven (1937)","Seventh Heaven ","Seventh Heaven (1927)"
"561",561,561,"Strange Homecoming (1974) dir. Lee H. Katzin[1]",1974,"Shadow of a Doubt (1943) dir. Alfred Hitchcock",1943,31,"Strange Homecoming (1974) dir. Lee H. Katzin[1] (1974)","Strange Homecoming ","Strange Homecoming (1974)","Shadow of a Doubt ","Shadow of a Doubt (1943)"
"562",562,562,"Shadow of a Doubt (1991) dir. Karen Arthur",1991,"Shadow of a Doubt (1943) dir. Alfred Hitchcock",1943,48,"Shadow of a Doubt (1991) dir. Karen Arthur (1991)","Shadow of a Doubt ","Shadow of a Doubt (1991)","Shadow of a Doubt ","Shadow of a Doubt (1943)"
"563",563,563,"The Shaggy Dog (1994) dir. Dennis Dugan",1994,"The Shaggy Dog (1959) dir. Charles Barton",1959,35,"The Shaggy Dog (1994) dir. Dennis Dugan (1994)","The Shaggy Dog ","The Shaggy Dog (1994)","The Shaggy Dog ","The Shaggy Dog (1959)"
"564",564,564,"The Shaggy Dog (2006) dir. Brian Robbins",2006,"The Shaggy Dog (1959) dir. Charles Barton",1959,47,"The Shaggy Dog (2006) dir. Brian Robbins (2006)","The Shaggy Dog ","The Shaggy Dog (2006)","The Shaggy Dog ","The Shaggy Dog (1959)"
"565",565,565,"Shake, Rattle and Rock! (1994) dir. Allan Arkush",1994,"Shake, Rattle & Rock! (1956) dir. Edward L. Cahn",1956,38,"Shake, Rattle and Rock! (1994) dir. Allan Arkush (1994)","Shake, Rattle and Rock! ","Shake, Rattle and Rock! (1994)","Shake, Rattle & Rock! ","Shake, Rattle & Rock! (1956)"
"566",566,566,"The Shakiest Gun in the West (1968) dir. Alan Rafkin",1968,"The Paleface (1948) dir. Norman Z. McLeod",1948,20,"The Shakiest Gun in the West (1968) dir. Alan Rafkin (1968)","The Shakiest Gun in the West ","The Shakiest Gun in the West (1968)","The Paleface ","The Paleface (1948)"
"567",567,567,"Shall We Dance (2004) dir. Peter Chelsom",2004,"Shall We Dansu? (1996) dir. Masayuki Suo",1996,8,"Shall We Dance (2004) dir. Peter Chelsom (2004)","Shall We Dance ","Shall We Dance (2004)","Shall We Dansu? ","Shall We Dansu? (1996)"
"568",568,568,"Shankar Dada MBBS (2004) dir. Jayanth C. Paranjee",2004,"Munnabhai M.B.B.S. (2003) dir. Rajkumar Hirani",2003,1,"Shankar Dada MBBS (2004) dir. Jayanth C. Paranjee (2004)","Shankar Dada MBBS ","Shankar Dada MBBS (2004)","Munnabhai M.B.B.S. ","Munnabhai M.B.B.S. (2003)"
"569",569,569,"Shankar Dada Zindabad (2007) dir. Prabhu Deva",2007,"Lage Raho Munna Bhai (2006) dir. Rajkumar Hirani",2006,1,"Shankar Dada Zindabad (2007) dir. Prabhu Deva (2007)","Shankar Dada Zindabad ","Shankar Dada Zindabad (2007)","Lage Raho Munna Bhai ","Lage Raho Munna Bhai (2006)"
"570",570,570,"Shiva (1990) dir. Ram Gopal Varma",1990,"Shiva (1989) dir. Ram Gopal Varma",1989,1,"Shiva (1990) dir. Ram Gopal Varma (1990)","Shiva ","Shiva (1990)","Shiva ","Shiva (1989)"
"571",571,571,"Shiva (2006) dir. Ram Gopal Varma",2006,"Shiva (1989) dir. Ram Gopal Varma",1989,17,"Shiva (2006) dir. Ram Gopal Varma (2006)","Shiva ","Shiva (2006)","Shiva ","Shiva (1989)"
"572",572,572,"The Shopworn Angel (1938) dir. H.C. Potter",1938,"The Shopworn Angel (1928) dir. Richard Wallace",1928,10,"The Shopworn Angel (1938) dir. H.C. Potter (1938)","The Shopworn Angel ","The Shopworn Angel (1938)","The Shopworn Angel ","The Shopworn Angel (1928)"
"573",573,573,"Shortcut to Happiness (2003) dir. Alec Baldwin",2003,"The Devil and Daniel Webster (1941) dir. William Dieterle",1941,62,"Shortcut to Happiness (2003) dir. Alec Baldwin (2003)","Shortcut to Happiness ","Shortcut to Happiness (2003)","The Devil and Daniel Webster ","The Devil and Daniel Webster (1941)"
"574",574,574,"Show Boat (1936) dir. James Whale",1936,"Show Boat (1929) dir. Harry A. Pollard",1929,7,"Show Boat (1936) dir. James Whale (1936)","Show Boat ","Show Boat (1936)","Show Boat ","Show Boat (1929)"
"575",575,575,"Show Boat (1951) dir. George Sidney",1951,"Show Boat (1929) dir. Harry A. Pollard",1929,22,"Show Boat (1951) dir. George Sidney (1951)","Show Boat ","Show Boat (1951)","Show Boat ","Show Boat (1929)"
"576",576,576,"Sideways (2009) dir. Cellin Gluck",2009,"Sideways (2004) dir. Alexander Payne",2004,5,"Sideways (2009) dir. Cellin Gluck (2009)","Sideways ","Sideways (2009)","Sideways ","Sideways (2004)"
"577",577,577,"Silk Stockings (1957) dir. Rouben Mamoulian",1957,"Ninotchka (1939) dir. Ernst Lubitsch",1939,18,"Silk Stockings (1957) dir. Rouben Mamoulian (1957)","Silk Stockings ","Silk Stockings (1957)","Ninotchka ","Ninotchka (1939)"
"578",578,578,"The Sign of the Cross (1932) dir. Cecil B. DeMille",1932,"The Sign of the Cross (1914) dir. Frederick A. Thomson",1914,18,"The Sign of the Cross (1932) dir. Cecil B. DeMille (1932)","The Sign of the Cross ","The Sign of the Cross (1932)","The Sign of the Cross ","The Sign of the Cross (1914)"
"579",579,579,"The Adventures of Ichabod and Mr. Toad (1949) dir. Clyde Geronimi",1949,"The Headless Horseman (1922) dir. Edward D. Venturini",1922,27,"The Adventures of Ichabod and Mr. Toad (1949) dir. Clyde Geronimi (1949)","The Adventures of Ichabod and Mr. Toad ","The Adventures of Ichabod and Mr. Toad (1949)","The Headless Horseman ","The Headless Horseman (1922)"
"580",580,580,"The Legend of Sleepy Hollow (1980) dir. Henning Schellerup",1980,"The Headless Horseman (1922) dir. Edward D. Venturini",1922,58,"The Legend of Sleepy Hollow (1980) dir. Henning Schellerup (1980)","The Legend of Sleepy Hollow ","The Legend of Sleepy Hollow (1980)","The Headless Horseman ","The Headless Horseman (1922)"
"581",581,581,"Sleepy Hollow (1999) dir. Tim Burton",1999,"The Headless Horseman (1922) dir. Edward D. Venturini",1922,77,"Sleepy Hollow (1999) dir. Tim Burton (1999)","Sleepy Hollow ","Sleepy Hollow (1999)","The Headless Horseman ","The Headless Horseman (1922)"
"582",582,582,"Society Lawyer (1939) dir. Edwin L. Marin",1939,"Penthouse (1933) dir. W.S. Van Dyke",1933,6,"Society Lawyer (1939) dir. Edwin L. Marin (1939)","Society Lawyer ","Society Lawyer (1939)","Penthouse ","Penthouse (1933)"
"583",583,583,"Solaris (1972) dir. Andrei Tarkovsky",1972,"Solaris (1968) dir. B.Nirenburg
Based on the novel by Stanis��aw Lem",1968,4,"Solaris (1972) dir. Andrei Tarkovsky (1972)","Solaris ","Solaris (1972)","Solaris ","Solaris (1968)"
"584",584,584,"Solaris (2002) dir. Steven Soderbergh",2002,"Solaris (1968) dir. B.Nirenburg
Based on the novel by Stanis��aw Lem",1968,34,"Solaris (2002) dir. Steven Soderbergh (2002)","Solaris ","Solaris (2002)","Solaris ","Solaris (1968)"
"585",585,585,"Solstice (2008) dir. Daniel Myrick",2008,"Midsommer (2003) dir. Carsten Myllerup",2003,5,"Solstice (2008) dir. Daniel Myrick (2008)","Solstice ","Solstice (2008)","Midsommer ","Midsommer (2003)"
"586",586,586,"Something's Got to Give (unfinished) (1962) dir. George Cukor",1962,"My Favorite Wife (1940) dir. Garson Kanin",1940,22,"Something's Got to Give (unfinished) (1962) dir. George Cukor (1962)","Something's Got to Give ","Something's Got to Give (1962)","My Favorite Wife ","My Favorite Wife (1940)"
"587",587,587,"Somewhere in Sonora (1933) dir. Mack V. Wright",1933,"Somewhere in Sonora (1927) dir. Albert S. Rogell",1927,6,"Somewhere in Sonora (1933) dir. Mack V. Wright (1933)","Somewhere in Sonora ","Somewhere in Sonora (1933)","Somewhere in Sonora ","Somewhere in Sonora (1927)"
"588",588,588,"A Song Is Born (1948) dir. Howard Hawks",1948,"Ball of Fire (1941) dir. Howard Hawks",1941,7,"A Song Is Born (1948) dir. Howard Hawks (1948)","A Song Is Born ","A Song Is Born (1948)","Ball of Fire ","Ball of Fire (1941)"
"589",589,589,"Sorcerer (1977) dir. William Friedkin",1977,"Le Salaire de la Peur (1953) dir. Henri-Georges Clouzot",1953,24,"Sorcerer (1977) dir. William Friedkin (1977)","Sorcerer ","Sorcerer (1977)","Le Salaire de la Peur ","Le Salaire de la Peur (1953)"
"590",590,590,"Sorority Row (2009) dir. Stewart Hendler",2009,"The House on Sorority Row (1983) dir. Mark Rosman",1983,26,"Sorority Row (2009) dir. Stewart Hendler (2009)","Sorority Row ","Sorority Row (2009)","The House on Sorority Row ","The House on Sorority Row (1983)"
"591",591,591,"Sorrell and Son (1934) dir. Jack Raymond",1934,"Sorrell and Son (1927) dir. Herbert Brenon",1927,7,"Sorrell and Son (1934) dir. Jack Raymond (1934)","Sorrell and Son ","Sorrell and Son (1934)","Sorrell and Son ","Sorrell and Son (1927)"
"592",592,592,"Sorrowful Jones (1949) dir. Sidney Lanfield",1949,"Little Miss Marker (1934) dir. Alexander Hall
Based on a short story by Damon Runyon",1934,15,"Sorrowful Jones (1949) dir. Sidney Lanfield (1949)","Sorrowful Jones ","Sorrowful Jones (1949)","Little Miss Marker ","Little Miss Marker (1934)"
"593",593,593,"Sparkle (2012) dir. Salim Akil",2012,"Sparkle (1976) dir. Sam O'Steen",1976,36,"Sparkle (2012) dir. Salim Akil (2012)","Sparkle ","Sparkle (2012)","Sparkle ","Sparkle (1976)"
"594",594,594,"Spring Parade (1940) dir. Henry Koster",1940,"Spring Parade (1934) dir. G̩za von Bolv��ry",1934,6,"Spring Parade (1940) dir. Henry Koster (1940)","Spring Parade ","Spring Parade (1940)","Spring Parade ","Spring Parade (1934)"
"595",595,595,"Springtime in a Small Town (2002) dir. Tian Zhuangzhuang",2002,"Spring in a Small Town (1948) dir. Fei Mu",1948,54,"Springtime in a Small Town (2002) dir. Tian Zhuangzhuang (2002)","Springtime in a Small Town ","Springtime in a Small Town (2002)","Spring in a Small Town ","Spring in a Small Town (1948)"
"596",596,596,"The Squaw Man (1918) dir. Cecil B. DeMille",1918,"The Squaw Man (1914) dir. Cecil B. DeMille",1914,4,"The Squaw Man (1918) dir. Cecil B. DeMille (1918)","The Squaw Man ","The Squaw Man (1918)","The Squaw Man ","The Squaw Man (1914)"
"597",597,597,"The Squaw Man (1931) dir. Cecil B. DeMille",1931,"The Squaw Man (1914) dir. Cecil B. DeMille",1914,17,"The Squaw Man (1931) dir. Cecil B. DeMille (1931)","The Squaw Man ","The Squaw Man (1931)","The Squaw Man ","The Squaw Man (1914)"
"598",598,598,"Stage Struck (1958) dir. Sidney Lumet",1958,"Morning Glory (1933) dir. Lowell Sherman
Based on a play by Zo�� Akins",1933,25,"Stage Struck (1958) dir. Sidney Lumet (1958)","Stage Struck ","Stage Struck (1958)","Morning Glory ","Morning Glory (1933)"
"599",599,599,"Stagecoach (1966) dir. Gordon Douglas",1966,"Stagecoach (1939) dir. John Ford
Based on the short story ""Stage to Lordsburg"" by Ernest Haycox",1939,27,"Stagecoach (1966) dir. Gordon Douglas (1966)","Stagecoach ","Stagecoach (1966)","Stagecoach ","Stagecoach (1939)"
"600",600,600,"Stagecoach (1986) dir. Ted Post",1986,"Stagecoach (1939) dir. John Ford
Based on the short story ""Stage to Lordsburg"" by Ernest Haycox",1939,47,"Stagecoach (1986) dir. Ted Post (1986)","Stagecoach ","Stagecoach (1986)","Stagecoach ","Stagecoach (1939)"
"601",601,601,"A Star Is Born (1954) dir. George Cukor",1954,"A Star Is Born (1937) dir. William A. Wellman",1937,17,"A Star Is Born (1954) dir. George Cukor (1954)","A Star Is Born ","A Star Is Born (1954)","A Star Is Born ","A Star Is Born (1937)"
"602",602,602,"A Star Is Born (1976) dir. Frank R. Pierson",1976,"A Star Is Born (1937) dir. William A. Wellman",1937,39,"A Star Is Born (1976) dir. Frank R. Pierson (1976)","A Star Is Born ","A Star Is Born (1976)","A Star Is Born ","A Star Is Born (1937)"
"603",603,603,"A Star Is Born (2018) dir. Bradley Cooper",2018,"A Star Is Born (1937) dir. William A. Wellman",1937,81,"A Star Is Born (2018) dir. Bradley Cooper (2018)","A Star Is Born ","A Star Is Born (2018)","A Star Is Born ","A Star Is Born (1937)"
"604",604,604,"State Fair (1945) dir. Walter Lang",1945,"State Fair (non-musical version) (1933) dir. Henry King
Based on the novel by Phil Stong",1933,12,"State Fair (1945) dir. Walter Lang (1945)","State Fair ","State Fair (1945)","State Fair ","State Fair (1933)"
"605",605,605,"State Fair (1962) dir. Jos̩ Ferrer",1962,"State Fair (non-musical version) (1933) dir. Henry King
Based on the novel by Phil Stong",1933,29,"State Fair (1962) dir. Jos̩ Ferrer (1962)","State Fair ","State Fair (1962)","State Fair ","State Fair (1933)"
"606",606,606,"The Stepfather (2009) dir. Nelson McCormick",2009,"The Stepfather (1987) dir. Joseph Ruben",1987,22,"The Stepfather (2009) dir. Nelson McCormick (2009)","The Stepfather ","The Stepfather (2009)","The Stepfather ","The Stepfather (1987)"
"607",607,607,"The Stepford Wives (2004) dir. Frank Oz",2004,"The Stepford Wives (1975) dir. Bryan Forbes
Based on the novel by Ira Levin",1975,29,"The Stepford Wives (2004) dir. Frank Oz (2004)","The Stepford Wives ","The Stepford Wives (2004)","The Stepford Wives ","The Stepford Wives (1975)"
"608",608,608,"Stolen Hours (1963) dir. Daniel Petrie",1963,"Dark Victory (1939) dir. Edmund Goulding
Based on the play by George Emerson Brewer Jr. and Bertram Bloch",1939,24,"Stolen Hours (1963) dir. Daniel Petrie (1963)","Stolen Hours ","Stolen Hours (1963)","Dark Victory ","Dark Victory (1939)"
"609",609,609,"Straw Dogs (2011) dir. Rod Lurie",2011,"Straw Dogs (1971) dir. Sam Peckinpah
Based on the novel by Gordon Williams",1971,40,"Straw Dogs (2011) dir. Rod Lurie (2011)","Straw Dogs ","Straw Dogs (2011)","Straw Dogs ","Straw Dogs (1971)"
"610",610,610,"The Student of Prague (1926) dir. Henrik Galeen",1926,"The Student of Prague (1913) dir. Paul Wegener",1913,13,"The Student of Prague (1926) dir. Henrik Galeen (1926)","The Student of Prague ","The Student of Prague (1926)","The Student of Prague ","The Student of Prague (1913)"
"611",611,611,"The Student of Prague (1935) dir. Arthur Robison",1935,"The Student of Prague (1913) dir. Paul Wegener",1913,22,"The Student of Prague (1935) dir. Arthur Robison (1935)","The Student of Prague ","The Student of Prague (1935)","The Student of Prague ","The Student of Prague (1913)"
"612",612,612,"The Sunshine Boys (1996) dir. John Erman",1996,"The Sunshine Boys (1975) dir. Herbert Ross
Based on the play by Neil Simon",1975,21,"The Sunshine Boys (1996) dir. John Erman (1996)","The Sunshine Boys ","The Sunshine Boys (1996)","The Sunshine Boys ","The Sunshine Boys (1975)"
"613",613,613,"Sunset Boulevard (1956) dir. Tad Danielewski",1956,"Sunset Boulevard (1950) dir. Billy Wilder",1950,6,"Sunset Boulevard (1956) dir. Tad Danielewski (1956)","Sunset Boulevard ","Sunset Boulevard (1956)","Sunset Boulevard ","Sunset Boulevard (1950)"
"614",614,614,"Suspicion (1987) dir. Andrew Grieve",1987,"Suspicion (1941) dir. Alfred Hitchcock",1941,46,"Suspicion (1987) dir. Andrew Grieve (1987)","Suspicion ","Suspicion (1987)","Suspicion ","Suspicion (1941)"
"615",615,615,"One Romantic Night (1930) dir. Paul Stein",1930,"The Swan (1925) dir. Dimitri Buchowetzki
Based on the play by Ferenc Moln��r",1925,5,"One Romantic Night (1930) dir. Paul Stein (1930)","One Romantic Night ","One Romantic Night (1930)","The Swan ","The Swan (1925)"
"616",616,616,"The Swan (1956) dir. Charles Vidor",1956,"The Swan (1925) dir. Dimitri Buchowetzki
Based on the play by Ferenc Moln��r",1925,31,"The Swan (1956) dir. Charles Vidor (1956)","The Swan ","The Swan (1956)","The Swan ","The Swan (1925)"
"617",617,617,"Sweet 20 (2015) dir. Phan Gia Nhat Linh",2015,"Miss Granny (2014) dir. Hwang Dong-hyuk",2014,1,"Sweet 20 (2015) dir. Phan Gia Nhat Linh (2015)","Sweet 20 ","Sweet 20 (2015)","Miss Granny ","Miss Granny (2014)"
"618",618,618,"Sweet November (2001) dir. Pat O'Connor",2001,"Sweet November (1968) dir. Robert Ellis Miller",1968,33,"Sweet November (2001) dir. Pat O'Connor (2001)","Sweet November ","Sweet November (2001)","Sweet November ","Sweet November (1968)"
"619",619,619,"Swept Away (2002) dir. Guy Ritchie",2002,"Swept Away by an Unusual Destiny in the Blue Sea of August (1974) dir. Lina Wertm�_ller",1974,28,"Swept Away (2002) dir. Guy Ritchie (2002)","Swept Away ","Swept Away (2002)","Swept Away by an Unusual Destiny in the Blue Sea of August ","Swept Away by an Unusual Destiny in the Blue Sea of August (1974)"
"620",620,620,"Swiss Family Robinson (1960) dir. Ken Annakin",1960,"Swiss Family Robinson (1940) dir. Edward Ludwig",1940,20,"Swiss Family Robinson (1960) dir. Ken Annakin (1960)","Swiss Family Robinson ","Swiss Family Robinson (1960)","Swiss Family Robinson ","Swiss Family Robinson (1940)"
"621",621,621,"His Girl Friday (1940) dir. Howard Hawks",1940,"The Front Page (1931) dir. Lewis Milestone",1931,9,"His Girl Friday (1940) dir. Howard Hawks (1940)","His Girl Friday ","His Girl Friday (1940)","The Front Page ","The Front Page (1931)"
"622",622,622,"The Front Page (1974) dir. Billy Wilder",1974,"The Front Page (1931) dir. Lewis Milestone",1931,43,"The Front Page (1974) dir. Billy Wilder (1974)","The Front Page ","The Front Page (1974)","The Front Page ","The Front Page (1931)"
"623",623,623,"Switching Channels (1988) dir. Ted Kotcheff",1988,"The Front Page (1931) dir. Lewis Milestone",1931,57,"Switching Channels (1988) dir. Ted Kotcheff (1988)","Switching Channels ","Switching Channels (1988)","The Front Page ","The Front Page (1931)"
"624",624,624,"Tagore (2003) dir. V.V. Vinayak",2003,"Ramana (2002) dir. A.R. Murugadoss",2002,1,"Tagore (2003) dir. V.V. Vinayak (2003)","Tagore ","Tagore (2003)","Ramana ","Ramana (2002)"
"625",625,625,"The Taking of Pelham One Two Three (1998) dir. F̩lix Enr�_quez Alcala",1998,"Taking of Pelham One Two Three (1974) dir. Joseph Sargent",1974,24,"The Taking of Pelham One Two Three (1998) dir. F̩lix Enr�_quez Alcala (1998)","The Taking of Pelham One Two Three ","The Taking of Pelham One Two Three (1998)","Taking of Pelham One Two Three ","Taking of Pelham One Two Three (1974)"
"626",626,626,"The Taking of Pelham 1 2 3 (2009) dir. Tony Scott",2009,"Taking of Pelham One Two Three (1974) dir. Joseph Sargent",1974,35,"The Taking of Pelham 1 2 3 (2009) dir. Tony Scott (2009)","The Taking of Pelham 1 2 3 ","The Taking of Pelham 1 2 3 (2009)","Taking of Pelham One Two Three ","Taking of Pelham One Two Three (1974)"
"627",627,627,"Tarzan, the Ape Man (1959) dir. Joseph M. Newman",1959,"Tarzan the Ape Man (1932) dir. W.S. Van Dyke",1932,27,"Tarzan, the Ape Man (1959) dir. Joseph M. Newman (1959)","Tarzan, the Ape Man ","Tarzan, the Ape Man (1959)","Tarzan the Ape Man ","Tarzan the Ape Man (1932)"
"628",628,628,"Taxi (2004) dir. Tim Story",2004,"Taxi (1996) dir. G̩rard Pir̬s",1996,8,"Taxi (2004) dir. Tim Story (2004)","Taxi ","Taxi (2004)","Taxi ","Taxi (1996)"
"629",629,629,"Mutiny on the Bounty (1935) dir. Frank Lloyd",1935,"In the Wake of the Bounty (1933) dir. Charles Chauvel",1933,2,"Mutiny on the Bounty (1935) dir. Frank Lloyd (1935)","Mutiny on the Bounty ","Mutiny on the Bounty (1935)","In the Wake of the Bounty ","In the Wake of the Bounty (1933)"
"630",630,630,"Mutiny on the Bounty (1962) dir. Lewis Milestone",1962,"In the Wake of the Bounty (1933) dir. Charles Chauvel",1933,29,"Mutiny on the Bounty (1962) dir. Lewis Milestone (1962)","Mutiny on the Bounty ","Mutiny on the Bounty (1962)","In the Wake of the Bounty ","In the Wake of the Bounty (1933)"
"631",631,631,"The Bounty (1984) dir. Roger Donaldson",1984,"In the Wake of the Bounty (1933) dir. Charles Chauvel",1933,51,"The Bounty (1984) dir. Roger Donaldson (1984)","The Bounty ","The Bounty (1984)","In the Wake of the Bounty ","In the Wake of the Bounty (1933)"
"632",632,632,"The Texas Chainsaw Massacre (2003) dir. Marcus Nispel",2003,"The Texas Chain Saw Massacre (1974) dir. Tobe Hooper",1974,29,"The Texas Chainsaw Massacre (2003) dir. Marcus Nispel (2003)","The Texas Chainsaw Massacre ","The Texas Chainsaw Massacre (2003)","The Texas Chain Saw Massacre ","The Texas Chain Saw Massacre (1974)"
"633",633,633,"That Darn Cat (1997) dir. Bob Spiers",1997,"That Darn Cat! (1965) dir. Robert Stevenson
Based on the book Undercover Cat by The Gordons",1965,32,"That Darn Cat (1997) dir. Bob Spiers (1997)","That Darn Cat ","That Darn Cat (1997)","That Darn Cat! ","That Darn Cat! (1965)"
"634",634,634,"They Made Me a Criminal (1939) dir. Busby Berkeley",1939,"The Life of Jimmy Dolan (1933) dir. Archie Mayo",1933,6,"They Made Me a Criminal (1939) dir. Busby Berkeley (1939)","They Made Me a Criminal ","They Made Me a Criminal (1939)","The Life of Jimmy Dolan ","The Life of Jimmy Dolan (1933)"
"635",635,635,"The Thief of Bagdad (1940) dir. Ludwig Berger and Michael Powell",1940,"Thief of Bagdad (1924) dir. Raoul Walsh",1924,16,"The Thief of Bagdad (1940) dir. Ludwig Berger and Michael Powell (1940)","The Thief of Bagdad ","The Thief of Bagdad (1940)","Thief of Bagdad ","Thief of Bagdad (1924)"
"636",636,636,"The Thief of Baghdad (1978) dir. Clive Donner",1978,"Thief of Bagdad (1924) dir. Raoul Walsh",1924,54,"The Thief of Baghdad (1978) dir. Clive Donner (1978)","The Thief of Baghdad ","The Thief of Baghdad (1978)","Thief of Bagdad ","Thief of Bagdad (1924)"
"637",637,637,"Yamato Takeru (1994) dir. Takao Okawara",1994,"The Birth of Japan (1959) dir. Hiroshi Inagaki",1959,35,"Yamato Takeru (1994) dir. Takao Okawara (1994)","Yamato Takeru ","Yamato Takeru (1994)","The Birth of Japan ","The Birth of Japan (1959)"
"638",638,638,"The Thing (1982) dir. John Carpenter",1982,"The Thing from Another World (1951) dir. Christian Nyby & Howard Hawks
Based on the novel Who Goes There? by John W. Campbell",1951,31,"The Thing (1982) dir. John Carpenter (1982)","The Thing ","The Thing (1982)","The Thing from Another World ","The Thing from Another World (1951)"
"639",639,639,"The Thirteenth Floor (1999) dir. Josef Rusnak",1999,"Welt am Draht (1973) dir. Rainer Werner Fassbinder
Based on the novel Simulacron-3 by Daniel F. Galouye",1973,26,"The Thirteenth Floor (1999) dir. Josef Rusnak (1999)","The Thirteenth Floor ","The Thirteenth Floor (1999)","Welt am Draht ","Welt am Draht (1973)"
"640",640,640,"Thir13en Ghosts (2001) dir. Steve Beck",2001,"13 Ghosts (1960) dir. William Castle",1960,41,"Thir13en Ghosts (2001) dir. Steve Beck (2001)","Thir13en Ghosts ","Thir13en Ghosts (2001)","13 Ghosts ","13 Ghosts (1960)"
"641",641,641,"The 39 Steps (1959) dir. Ralph Thomas",1959,"The 39 Steps (1935) dir. Alfred Hitchcock",1935,24,"The 39 Steps (1959) dir. Ralph Thomas (1959)","The 39 Steps ","The 39 Steps (1959)","The 39 Steps ","The 39 Steps (1935)"
"642",642,642,"The Thirty Nine Steps (1978) dir. Don Sharp",1978,"The 39 Steps (1935) dir. Alfred Hitchcock",1935,43,"The Thirty Nine Steps (1978) dir. Don Sharp (1978)","The Thirty Nine Steps ","The Thirty Nine Steps (1978)","The 39 Steps ","The 39 Steps (1935)"
"643",643,643,"The 39 Steps (2008) dir. James Hawes",2008,"The 39 Steps (1935) dir. Alfred Hitchcock",1935,73,"The 39 Steps (2008) dir. James Hawes (2008)","The 39 Steps ","The 39 Steps (2008)","The 39 Steps ","The 39 Steps (1935)"
"644",644,644,"The Thomas Crown Affair (1999) dir. John McTiernan",1999,"The Thomas Crown Affair (1968) dir. Norman Jewison",1968,31,"The Thomas Crown Affair (1999) dir. John McTiernan (1999)","The Thomas Crown Affair ","The Thomas Crown Affair (1999)","The Thomas Crown Affair ","The Thomas Crown Affair (1968)"
"645",645,645,"Three Fugitives (1989) dir. Francis Veber",1989,"Les Fugitifs (1986) dir. Francis Veber",1986,3,"Three Fugitives (1989) dir. Francis Veber (1989)","Three Fugitives ","Three Fugitives (1989)","Les Fugitifs ","Les Fugitifs (1986)"
"646",646,646,"The Three Musketeers (1935) dir. Rowland V. Lee",1935,"The Three Musketeers (1921) dir. Fred Niblo",1921,14,"The Three Musketeers (1935) dir. Rowland V. Lee (1935)","The Three Musketeers ","The Three Musketeers (1935)","The Three Musketeers ","The Three Musketeers (1921)"
"647",647,647,"The Three Musketeers (1948) dir. George Sidney",1948,"The Three Musketeers (1921) dir. Fred Niblo",1921,27,"The Three Musketeers (1948) dir. George Sidney (1948)","The Three Musketeers ","The Three Musketeers (1948)","The Three Musketeers ","The Three Musketeers (1921)"
"648",648,648,"The Three Musketeers (1973) dir. Richard Lester",1973,"The Three Musketeers (1921) dir. Fred Niblo",1921,52,"The Three Musketeers (1973) dir. Richard Lester (1973)","The Three Musketeers ","The Three Musketeers (1973)","The Three Musketeers ","The Three Musketeers (1921)"
"649",649,649,"The Three Musketeers (1993) dir. Stephen Herek",1993,"The Three Musketeers (1921) dir. Fred Niblo",1921,72,"The Three Musketeers (1993) dir. Stephen Herek (1993)","The Three Musketeers ","The Three Musketeers (1993)","The Three Musketeers ","The Three Musketeers (1921)"
"650",650,650,"The Three Musketeers (2011) dir. Paul W. S. Anderson",2011,"The Three Musketeers (1921) dir. Fred Niblo",1921,90,"The Three Musketeers (2011) dir. Paul W. S. Anderson (2011)","The Three Musketeers ","The Three Musketeers (2011)","The Three Musketeers ","The Three Musketeers (1921)"
