Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Beau Geste,1939,PASSED,24 Jul 1939,112 min,"Action, Adventure, Drama",William A. Wellman,N/A,7.8,N/A,Beau Geste (1939)
Beauty and the Beast,2017,PG,17 Mar 2017,129 min,"Family, Fantasy, Musical",Bill Condon,7 wins & 15 nominations.,7.3,"$503,974,884",Beauty and the Beast (2017)
Bedazzled,2000,PG-13,20 Oct 2000,93 min,"Comedy, Fantasy",Harold Ramis,1 win & 3 nominations.,6.0,N/A,Bedazzled (2000)
The Beguiled,2017,R,30 Jun 2017,93 min,"Drama, Thriller",Sofia Coppola,4 wins & 18 nominations.,6.4,"$10,542,504",The Beguiled (2017)
Being Julia,2004,R,18 Feb 2005,104 min,"Comedy, Drama, Romance",István Szabó,Nominated for 1 Oscar. Another 8 wins & 18 nominations.,7.0,"$7,652,647",Being Julia (2004)
Ben-Hur,1959,G,29 Jan 1960,212 min,"Adventure, Drama, History",William Wyler,Won 11 Oscars. Another 16 wins & 13 nominations.,8.1,N/A,Ben-Hur (1959)
Ben-Hur,2016,PG-13,19 Aug 2016,123 min,"Action, Adventure, Drama",Timur Bekmambetov,2 wins.,5.7,"$26,384,681",Ben-Hur (2016)
Between Two Worlds,1944,APPROVED,20 May 1944,112 min,"Mystery, Drama, Fantasy",Edward A. Blatt,N/A,7.3,N/A,Between Two Worlds (1944)
Frutto acerbo,1934,N/A,N/A,N/A,Romance,Carlo Ludovico Bragaglia,N/A,N/A,N/A,Frutto acerbo (1934)
Between Us Girls,1942,N/A,04 Sep 1942,85 min,Comedy,Henry Koster,N/A,6.8,N/A,Between Us Girls (1942)
Beyond a Reasonable Doubt,2009,PG-13,10 Jul 2009,106 min,"Crime, Drama, Mystery",Peter Hyams,N/A,5.9,N/A,Beyond a Reasonable Doubt (2009)
Broken Lance,1954,APPROVED,25 Sep 1954,96 min,"Adventure, Western",Edward Dmytryk,Won 1 Oscar. Another 1 win & 1 nomination.,7.0,N/A,Broken Lance (1954)
The Big Show,1961,APPROVED,14 Jul 1961,113 min,Drama,James B. Clark,N/A,5.7,N/A,The Big Show (1961)
The Big Stampede,1932,PASSED,08 Oct 1932,54 min,Western,Tenny Wright,N/A,5.8,N/A,The Big Stampede (1932)
Mr. Smith Goes to Washington,1939,NOT RATED,19 Oct 1939,129 min,"Comedy, Drama",Frank Capra,Won 1 Oscar. Another 4 wins & 12 nominations.,8.2,N/A,Mr. Smith Goes to Washington (1939)
Billy Jack Goes to Washington,1977,NOT RATED,16 Apr 1977,155 min,"Drama, Thriller",Tom Laughlin,N/A,4.5,N/A,Billy Jack Goes to Washington (1977)
The Birdcage,1996,R,08 Mar 1996,117 min,Comedy,Mike Nichols,Nominated for 1 Oscar. Another 6 wins & 25 nominations.,7.0,N/A,The Birdcage (1996)
Black Caesar,1973,R,07 Feb 1973,87 min,"Action, Crime, Drama",Larry Cohen,N/A,6.5,N/A,Black Caesar (1973)
Black Christmas,2006,R,25 Dec 2006,84 min,Horror,Glen Morgan,1 nomination.,4.6,N/A,Black Christmas (2006)
Blame It on Rio,1984,R,17 Feb 1984,100 min,"Comedy, Romance",Stanley Donen,1 nomination.,5.7,N/A,Blame It on Rio (1984)
The Blob,1988,R,05 Aug 1988,95 min,"Horror, Sci-Fi, Thriller",Chuck Russell,6 nominations.,6.4,N/A,The Blob (1988)
Blood Diner,1987,UNRATED,10 Jul 1987,88 min,"Comedy, Horror",Jackie Kong,N/A,5.2,N/A,Blood Diner (1987)
The Blue Angel,1959,N/A,11 Oct 1959,107 min,Drama,Edward Dmytryk,N/A,6.2,N/A,The Blue Angel (1959)
The Blue Bird,1940,APPROVED,15 Jan 1940,88 min,"Drama, Family, Fantasy",Walter Lang,N/A,6.5,N/A,The Blue Bird (1940)
The Blue Bird,1976,G,05 Apr 1976,99 min,"Adventure, Drama, Family",George Cukor,1 nomination.,5.4,N/A,The Blue Bird (1976)
Bored of Education,1936,APPROVED,20 Aug 1936,10 min,"Comedy, Family, Short",Gordon Douglas,N/A,7.3,N/A,Bored of Education (1936)
Born Yesterday,1993,PG,26 Mar 1993,100 min,"Comedy, Romance",Luis Mandoki,1 nomination.,5.1,N/A,Born Yesterday (1993)
Boudu,2005,N/A,09 Mar 2005,104 min,Comedy,Gérard Jugnot,1 nomination.,5.4,N/A,Boudu (2005)
The Boy Cried Murder,1966,N/A,11 Nov 1966,86 min,"Crime, Drama",George P. Breakston,N/A,6.5,N/A,The Boy Cried Murder (1966)
Breathless,1983,R,13 May 1983,100 min,"Action, Drama, Romance",Jim McBride,N/A,5.8,N/A,Breathless (1983)
Three on a Spree,1961,N/A,01 Nov 1961,83 min,Comedy,Sidney J. Furie,N/A,6.0,N/A,Three on a Spree (1961)
Brewster's Millions,1985,PG,22 May 1985,102 min,Comedy,Walter Hill,N/A,6.5,N/A,Brewster's Millions (1985)
Bride Wars,2015,N/A,20 Aug 2015,90 min,Comedy,Tony Chan,N/A,4.4,N/A,Bride Wars (2015)
Brian's Song,2001,N/A,02 Dec 2001,88 min,"Drama, Sport",John Gray,N/A,6.8,N/A,Brian's Song (2001)
Brothers,2009,R,04 Dec 2009,105 min,"Drama, Thriller, War",Jim Sheridan,Nominated for 2 Golden Globes. Another 4 wins & 13 nominations.,7.1,"$28,501,651",Brothers (2009)
A Bucket of Blood,1995,R,12 Sep 1995,83 min,"Comedy, Horror, Thriller",Michael McDonald,N/A,4.9,N/A,A Bucket of Blood (1995)
Buddy Buddy,1981,R,11 Dec 1981,96 min,Comedy,Billy Wilder,2 nominations.,6.6,N/A,Buddy Buddy (1981)
The Buccaneer,1958,APPROVED,01 Dec 1958,119 min,"Adventure, Drama, History",Anthony Quinn,N/A,6.6,N/A,The Buccaneer (1958)
Bundle of Joy,1956,APPROVED,12 Dec 1956,98 min,"Comedy, Musical",Norman Taurog,N/A,6.1,N/A,Bundle of Joy (1956)
The Burmese Harp,1985,N/A,20 Jul 1985,133 min,"Drama, War",Kon Ichikawa,2 wins & 7 nominations.,6.6,N/A,The Burmese Harp (1985)
Cabin Fever,2016,R,13 May 2016,99 min,Horror,Travis Zariwny,1 nomination.,3.7,N/A,Cabin Fever (2016)
The Cabinet of Dr. Caligari,2005,NOT RATED,01 Jan 2006,76 min,"Drama, Horror, Mystery",David Lee Fisher,4 wins.,5.8,N/A,The Cabinet of Dr. Caligari (2005)
Cape Fear,1991,R,15 Nov 1991,128 min,"Crime, Thriller",Martin Scorsese,Nominated for 2 Oscars. Another 4 wins & 15 nominations.,7.3,N/A,Cape Fear (1991)
