Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
The Man Who Loved Women,1983,R,16 Dec 1983,110 min,"Comedy, Drama, Romance",Blake Edwards,N/A,5.1,N/A,The Man Who Loved Women (1983)
The Manchurian Candidate,2004,R,30 Jul 2004,129 min,"Drama, Mystery, Sci-Fi",Jonathan Demme,Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,6.6,"$65,700,000",The Manchurian Candidate (2004)
Rajmohol,2005,N/A,N/A,N/A,"Drama, Thriller",Swapan Saha,N/A,6.3,N/A,Rajmohol (2005)
Bhool Bhulaiyaa,2007,NOT RATED,12 Oct 2007,159 min,"Comedy, Horror, Mystery",Priyadarshan,11 nominations.,7.3,"$1,000,000",Bhool Bhulaiyaa (2007)
Marcellino,1991,N/A,19 Dec 1991,92 min,Drama,Luigi Comencini,N/A,5.9,N/A,Marcellino (1991)
Marcelino Pan y Vino,2010,N/A,17 Dec 2010,91 min,"Drama, Family",Jose Luis Gutierrez Arias,1 win.,5.9,N/A,Marcelino Pan y Vino (2010)
Marcelino Pan y Vino,2010,N/A,17 Dec 2010,91 min,"Drama, Family",Jose Luis Gutierrez Arias,1 win.,5.9,N/A,Marcelino Pan y Vino (2010)
Mark of the Vampire,1935,PASSED,26 Apr 1935,60 min,"Horror, Mystery",Tod Browning,1 nomination.,6.3,N/A,Mark of the Vampire (1935)
Marked Men,1919,N/A,21 Dec 1919,50 min,Western,John Ford,N/A,4.5,N/A,Marked Men (1919)
Martyrs,2015,NOT RATED,22 Jan 2016,86 min,"Drama, Horror, Thriller","Kevin Goetz, Michael Goetz",N/A,4.0,N/A,Martyrs (2015)
The Mask of Fu Manchu,1932,PASSED,05 Nov 1932,68 min,"Adventure, Horror, Sci-Fi","Charles Brabin, Charles Vidor",1 nomination.,6.5,N/A,The Mask of Fu Manchu (1932)
Masquerade in Mexico,1945,N/A,03 Dec 1945,96 min,Comedy,Mitchell Leisen,N/A,5.9,N/A,Masquerade in Mexico (1945)
The Mechanic,2011,R,28 Jan 2011,93 min,"Action, Crime, Thriller",Simon West,1 nomination.,6.6,"$29,113,588",The Mechanic (2011)
Meet Joe Black,1998,PG-13,13 Nov 1998,178 min,"Drama, Fantasy, Romance",Martin Brest,3 wins & 6 nominations.,7.2,N/A,Meet Joe Black (1998)
Meet Me in St. Louis,1959,N/A,26 Apr 1959,120 min,"Comedy, Musical",George Schaefer,N/A,7.2,N/A,Meet Me in St. Louis (1959)
Meet Me in St. Louis,1966,N/A,02 Sep 1966,26 min,"Comedy, Drama, Family","Alan D. Courtney, Jeffrey Hayden",N/A,5.0,N/A,Meet Me in St. Louis (1966)
Men Don't Leave,1990,PG-13,23 Feb 1990,115 min,Drama,Paul Brickman,3 nominations.,6.7,N/A,Men Don't Leave (1990)
It Happened One Christmas,1977,N/A,11 Dec 1977,109 min,"Comedy, Fantasy",Donald Wrye,N/A,6.1,N/A,It Happened One Christmas (1977)
"Merry Christmas, George Bailey",1997,N/A,25 Dec 1997,60 min,Fantasy,Matthew Diamond,N/A,7.4,N/A,"Merry Christmas, George Bailey (1997)"
Messenger,1994,N/A,N/A,74 min,Drama,Norman Loftis,N/A,7.0,N/A,Messenger (1994)
Mighty Joe Young,1998,PG,25 Dec 1998,114 min,"Action, Adventure, Family",Ron Underwood,Nominated for 1 Oscar. Another 1 win & 3 nominations.,5.6,N/A,Mighty Joe Young (1998)
Miracle on 34th Street,1973,N/A,14 Dec 1973,100 min,"Family, Drama, Fantasy",Fielder Cook,N/A,5.8,N/A,Miracle on 34th Street (1973)
Miracle on 34th Street,1994,PG,18 Nov 1994,114 min,"Family, Fantasy",Les Mayfield,1 nomination.,6.4,N/A,Miracle on 34th Street (1994)
The Miracle Man,1932,N/A,01 Apr 1932,85 min,Drama,Norman Z. McLeod,N/A,6.9,N/A,The Miracle Man (1932)
The Mirror Has Two Faces,1996,PG-13,15 Nov 1996,126 min,"Comedy, Drama, Romance",Barbra Streisand,Nominated for 2 Oscars. Another 4 wins & 9 nominations.,6.5,N/A,The Mirror Has Two Faces (1996)
Mirrors,2008,R,15 Aug 2008,110 min,"Horror, Mystery",Alexandre Aja,2 nominations.,6.2,"$30,575,158",Mirrors (2008)
Missile to the Moon,1958,APPROVED,29 Jun 1960,78 min,"Drama, Sci-Fi",Richard E. Cunha,N/A,3.6,N/A,Missile to the Moon (1958)
Mixed Nuts,1994,PG-13,21 Dec 1994,97 min,"Comedy, Drama",Nora Ephron,1 nomination.,5.4,N/A,Mixed Nuts (1994)
Mogambo,1953,APPROVED,09 Oct 1953,116 min,"Adventure, Drama, Romance",John Ford,Nominated for 2 Oscars. Another 2 wins & 2 nominations.,6.7,N/A,Mogambo (1953)
The Money Pit,1986,PG,26 Mar 1986,91 min,Comedy,Richard Benjamin,N/A,6.3,N/A,The Money Pit (1986)
The Monkey's Paw,1948,N/A,01 Nov 1948,64 min,"Horror, Thriller",Norman Lee,N/A,5.9,N/A,The Monkey's Paw (1948)
The Monster and the Girl,1941,APPROVED,28 Feb 1941,65 min,"Crime, Drama, Horror",Stuart Heisler,N/A,6.1,N/A,The Monster and the Girl (1941)
Moon Over Parador,1988,PG-13,09 Sep 1988,103 min,"Comedy, Romance",Paul Mazursky,N/A,5.9,N/A,Moon Over Parador (1988)
Mother's Day,2010,R,05 May 2011,112 min,"Horror, Thriller",Darren Lynn Bousman,N/A,6.3,N/A,Mother's Day (2010)
Something's Got to Give,1962,N/A,01 Jun 2001,37 min,"Comedy, Short",George Cukor,N/A,N/A,N/A,Something's Got to Give (1962)
"Move Over, Darling",1963,APPROVED,25 Dec 1963,103 min,"Comedy, Romance",Michael Gordon,Nominated for 1 Golden Globe. Another 3 nominations.,7.0,N/A,"Move Over, Darling (1963)"
Mr. Deeds,2002,PG-13,28 Jun 2002,96 min,"Comedy, Romance",Steven Brill,5 wins & 9 nominations.,5.8,"$126,203,320",Mr. Deeds (2002)
The Mummy,1999,PG-13,07 May 1999,124 min,"Action, Adventure, Fantasy",Stephen Sommers,Nominated for 1 Oscar. Another 5 wins & 19 nominations.,7.0,N/A,The Mummy (1999)
Shankar Dada MBBS,2004,N/A,15 Oct 2004,174 min,Comedy,Jayant Paranji,1 win.,7.4,N/A,Shankar Dada MBBS (2004)
My Father the Hero,1994,PG,04 Feb 1994,90 min,"Comedy, Romance",Steve Miner,1 nomination.,5.4,N/A,My Father the Hero (1994)
My Man Godfrey,1957,UNRATED,09 Dec 1957,92 min,Comedy,Henry Koster,N/A,6.3,N/A,My Man Godfrey (1957)
My Fair Lady,1964,G,25 Dec 1964,170 min,"Drama, Family, Musical",George Cukor,Won 8 Oscars. Another 16 wins & 13 nominations.,7.9,N/A,My Fair Lady (1964)
My Sassy Girl,2008,PG-13,26 Jun 2008,92 min,"Comedy, Drama, Romance",Yann Samuell,1 nomination.,6.3,N/A,My Sassy Girl (2008)
Naa Autograph Sweet Memories,2004,N/A,11 Aug 2004,N/A,"Drama, Romance",Gopal Reddy S.,N/A,7.1,N/A,Naa Autograph Sweet Memories (2004)
Naina,2005,N/A,20 May 2005,104 min,"Drama, Horror, Mystery",Shripal Morakhia,1 nomination.,4.3,N/A,Naina (2005)
Narrow Margin,1990,R,21 Sep 1990,97 min,"Action, Crime, Thriller",Peter Hyams,1 nomination.,6.6,N/A,Narrow Margin (1990)
The Next Three Days,2010,PG-13,19 Nov 2010,133 min,"Crime, Drama, Romance",Paul Haggis,4 nominations.,7.4,"$21,100,000",The Next Three Days (2010)
Night and the City,1992,R,23 Oct 1992,105 min,"Comedy, Crime, Drama",Irwin Winkler,N/A,5.8,N/A,Night and the City (1992)
Night Must Fall,1964,N/A,18 Mar 1964,101 min,"Crime, Thriller",Karel Reisz,1 nomination.,6.6,N/A,Night Must Fall (1964)
A Nightmare on Elm Street,2010,R,30 Apr 2010,95 min,"Crime, Drama, Horror",Samuel Bayer,2 wins & 11 nominations.,5.2,"$63,100,000",A Nightmare on Elm Street (2010)
Night of the Demons,2009,R,26 May 2011,93 min,"Action, Comedy, Horror",Adam Gierasch,1 nomination.,4.7,N/A,Night of the Demons (2009)
Night of the Living Dead,1990,R,19 Oct 1990,92 min,Horror,Tom Savini,2 nominations.,6.9,N/A,Night of the Living Dead (1990)
Night of the Living Dead 3D,2006,R,10 Nov 2006,80 min,Horror,Jeff Broadstreet,N/A,3.1,N/A,Night of the Living Dead 3D (2006)
Nightwatch,1997,R,17 Apr 1998,101 min,"Drama, Horror, Thriller",Ole Bornedal,2 wins.,6.2,N/A,Nightwatch (1997)
Nine Months,1995,PG-13,12 Jul 1995,103 min,"Comedy, Romance",Chris Columbus,1 win & 2 nominations.,5.5,N/A,Nine Months (1995)
No Reservations,2007,PG,27 Jul 2007,104 min,"Comedy, Drama, Romance",Scott Hicks,1 nomination.,6.3,"$43,100,000",No Reservations (2007)
Nosferatu the Vampyre,1979,PG,17 Jan 1979,107 min,Horror,Werner Herzog,5 wins & 8 nominations.,7.6,N/A,Nosferatu the Vampyre (1979)
No Way Out,1987,R,14 Aug 1987,114 min,"Action, Crime, Drama",Roger Donaldson,N/A,7.1,N/A,No Way Out (1987)
Not of This Earth,1988,R,20 May 1988,81 min,"Comedy, Horror, Sci-Fi",Jim Wynorski,N/A,4.5,N/A,Not of This Earth (1988)
Not of This Earth,1995,R,05 Sep 1995,91 min,Sci-Fi,Terence H. Winkless,N/A,5.1,N/A,Not of This Earth (1995)
Notorious,1992,N/A,28 Jan 1992,100 min,"Action, Thriller",Colin Bucksey,N/A,4.5,N/A,Notorious (1992)
Rangrezz,2013,NOT RATED,21 Mar 2013,144 min,"Action, Drama",Priyadarshan,N/A,5.1,N/A,Rangrezz (2013)
Run,2011,N/A,N/A,3 min,"Short, Action, Thriller",Alex Stickroth,N/A,N/A,N/A,Run (2011)
Ithu Nammude Katha,2011,N/A,01 Jan 2011,N/A,N/A,Rajesh Kannankara,N/A,4.2,N/A,Ithu Nammude Katha (2011)
Hudugaru,2011,N/A,15 May 2011,148 min,"Action, Drama",K. Madesh,N/A,N/A,N/A,Hudugaru (2011)
Bluffmaster!,2005,N/A,16 Dec 2005,137 min,"Comedy, Crime, Drama",Rohan Sippy,3 nominations.,6.7,"$668,166",Bluffmaster! (2005)
The Nutty Professor,1996,PG-13,28 Jun 1996,95 min,"Comedy, Romance, Sci-Fi",Tom Shadyac,Won 1 Oscar. Another 9 wins & 12 nominations.,5.6,N/A,The Nutty Professor (1996)
Ocean's Eleven,2001,PG-13,07 Dec 2001,116 min,"Crime, Thriller",Steven Soderbergh,4 wins & 20 nominations.,7.8,"$183,349,128",Ocean's Eleven (2001)
Ocean's Eleven,2001,PG-13,07 Dec 2001,116 min,"Crime, Thriller",Steven Soderbergh,4 wins & 20 nominations.,7.8,"$183,349,128",Ocean's Eleven (2001)
The Old Dark House,1963,APPROVED,31 Oct 1963,86 min,"Comedy, Horror, Mystery",William Castle,1 nomination.,5.4,N/A,The Old Dark House (1963)
I Am Omega,2007,NOT RATED,18 Nov 2007,91 min,"Action, Horror, Sci-Fi",Griff Furst,N/A,3.3,N/A,I Am Omega (2007)
I Am Legend,2007,PG-13,14 Dec 2007,101 min,"Drama, Horror, Sci-Fi",Francis Lawrence,9 wins & 22 nominations.,7.2,"$256,399,999",I Am Legend (2007)
The Omen,2006,R,06 Jun 2006,110 min,Horror,John Moore,1 win & 6 nominations.,5.5,"$54,600,000",The Omen (2006)
On the Beach,2000,N/A,28 May 2000,195 min,"Drama, Sci-Fi",Russell Mulcahy,Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,7.1,N/A,On the Beach (2000)
One Million Years B.C.,1966,APPROVED,21 Feb 1967,91 min,"Adventure, Fantasy",Don Chaffey,N/A,5.7,N/A,One Million Years B.C. (1966)
The Opposite Sex,1956,NOT RATED,29 Apr 1957,117 min,"Comedy, Musical, Romance",David Miller,N/A,6.2,N/A,The Opposite Sex (1956)
Orfeu,1999,N/A,21 Apr 1999,110 min,"Crime, Drama, Music",Carlos Diegues,5 wins & 6 nominations.,6.1,N/A,Orfeu (1999)
Orphans of the Storm,1921,NOT RATED,N/A,150 min,"Drama, History, Romance",D.W. Griffith,N/A,7.8,N/A,Orphans of the Storm (1921)
Oscar,1991,PG,26 Apr 1991,109 min,"Comedy, Crime",John Landis,3 nominations.,6.4,N/A,Oscar (1991)
The Out-of-Towners,1999,PG-13,02 Apr 1999,90 min,Comedy,Sam Weisman,1 win.,5.3,N/A,The Out-of-Towners (1999)
The Outrage,1964,APPROVED,08 Oct 1964,96 min,"Drama, Western, Crime",Martin Ritt,N/A,6.3,N/A,The Outrage (1964)
Outside the Law,1930,N/A,18 Sep 1930,79 min,"Crime, Drama",Tod Browning,N/A,6.5,N/A,Outside the Law (1930)
Oxford Blues,1984,PG-13,24 Aug 1984,97 min,"Comedy, Drama, Sport",Robert Boris,N/A,5.3,N/A,Oxford Blues (1984)
Painting the Clouds with Sunshine,1951,N/A,10 Oct 1951,87 min,Musical,David Butler,N/A,5.9,N/A,Painting the Clouds with Sunshine (1951)
Paradise,1991,PG-13,04 Oct 1991,111 min,Drama,Mary Agnes Donoghue,1 win & 4 nominations.,6.7,N/A,Paradise (1991)
The Parent Trap,1998,PG,29 Jul 1998,128 min,"Adventure, Comedy, Drama",Nancy Meyers,2 wins & 7 nominations.,6.5,N/A,The Parent Trap (1998)
Paris When It Sizzles,1964,APPROVED,08 Apr 1964,110 min,"Comedy, Romance",Richard Quine,N/A,6.4,N/A,Paris When It Sizzles (1964)
Peking Express,1951,N/A,01 Aug 1951,95 min,"Drama, Thriller, Action",William Dieterle,N/A,5.9,N/A,Peking Express (1951)
A Perfect Murder,1998,R,05 Jun 1998,107 min,"Crime, Drama, Thriller",Andrew Davis,2 wins & 3 nominations.,6.5,N/A,A Perfect Murder (1998)
Phantom of the Opera,1943,APPROVED,27 Aug 1943,92 min,"Drama, Horror, Music",Arthur Lubin,Won 2 Oscars. Another 1 win & 3 nominations.,6.5,N/A,Phantom of the Opera (1943)
Picnic,2000,N/A,16 Apr 2000,100 min,"Drama, Romance",Ivan Passer,N/A,5.2,N/A,Picnic (2000)
'Pimpernel' Smith,1941,PASSED,28 Jul 1941,120 min,"Adventure, Drama, Thriller",Leslie Howard,1 win.,7.3,N/A,'Pimpernel' Smith (1941)
The Plainsman,1966,N/A,01 Aug 1966,92 min,Western,David Lowell Rich,N/A,5.1,N/A,The Plainsman (1966)
Planet of the Apes,2001,PG-13,27 Jul 2001,119 min,"Action, Adventure, Sci-Fi",Tim Burton,Nominated for 2 BAFTA Film Awards. Another 10 wins & 27 nominations.,5.7,"$178,094,583",Planet of the Apes (2001)
The Plank,1979,N/A,17 Dec 1979,28 min,"Comedy, Short",Eric Sykes,1 win.,7.4,N/A,The Plank (1979)
Pocketful of Miracles,1961,APPROVED,15 Feb 1962,136 min,"Comedy, Drama",Frank Capra,Nominated for 3 Oscars. Another 2 wins & 5 nominations.,7.3,N/A,Pocketful of Miracles (1961)
Point Break,2015,PG-13,25 Dec 2015,114 min,"Action, Crime, Sport",Ericson Core,3 nominations.,5.3,N/A,Point Break (2015)
Point of No Return,1993,R,19 Mar 1993,109 min,"Action, Crime, Drama",John Badham,N/A,6.0,N/A,Point of No Return (1993)
Poltergeist,2015,PG-13,22 May 2015,93 min,"Horror, Thriller",Gil Kenan,1 win & 6 nominations.,4.9,"$39,918,054",Poltergeist (2015)
Pokkiri,2007,N/A,12 Jan 2007,161 min,"Action, Comedy, Crime",Prabhudheva,4 nominations.,7.2,N/A,Pokkiri (2007)
Wanted,2009,NOT RATED,25 Sep 2009,147 min,"Action, Crime, Thriller",Prabhudheva,3 nominations.,6.6,"$217,432",Wanted (2009)
Porki,2010,N/A,28 Jan 2010,154 min,"Action, Crime, Romance",M.D. Sridhar,N/A,6.2,N/A,Porki (2010)
The Poseidon Adventure,2005,NOT RATED,20 Nov 2005,174 min,"Adventure, Action, Drama",John Putch,N/A,4.3,N/A,The Poseidon Adventure (2005)
Poseidon,2006,PG-13,12 May 2006,98 min,"Action, Adventure, Drama",Wolfgang Petersen,Nominated for 1 Oscar. Another 6 nominations.,5.6,"$60,600,000",Poseidon (2006)
The Preacher's Wife,1996,PG,13 Dec 1996,123 min,"Comedy, Drama, Fantasy",Penny Marshall,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,5.5,N/A,The Preacher's Wife (1996)
Premonition,2007,PG-13,16 Mar 2007,96 min,"Drama, Mystery, Thriller",Mennan Yapo,2 nominations.,5.9,"$47,852,604",Premonition (2007)
The Prisoner of Zenda,1952,APPROVED,14 Nov 1952,96 min,Adventure,Richard Thorpe,N/A,7.0,N/A,The Prisoner of Zenda (1952)
The Prisoner of Zenda,1979,PG,17 Aug 1979,108 min,"Adventure, Comedy",Richard Quine,N/A,5.0,N/A,The Prisoner of Zenda (1979)
The Producers,2005,PG-13,25 Dec 2005,134 min,"Comedy, Musical",Susan Stroman,Nominated for 4 Golden Globes. Another 1 win & 13 nominations.,6.4,"$19,151,907",The Producers (2005)
Prom Night,2008,PG-13,11 Apr 2008,88 min,"Horror, Mystery",Nelson McCormick,1 win & 3 nominations.,3.9,"$43,818,159",Prom Night (2008)
Psycho,1998,R,04 Dec 1998,105 min,"Horror, Mystery, Thriller",Gus Van Sant,4 wins & 5 nominations.,4.6,N/A,Psycho (1998)
Pulse,2006,PG-13,11 Aug 2006,90 min,"Horror, Sci-Fi, Thriller",Jim Sonzero,1 nomination.,4.7,"$20,230,986",Pulse (2006)
Pure Luck,1991,PG,09 Aug 1991,96 min,"Comedy, Crime, Mystery",Nadia Tass,N/A,5.7,N/A,Pure Luck (1991)
Pusher,2010,N/A,15 Oct 2010,107 min,"Action, Crime, Drama",Assad Raja,N/A,6.2,N/A,Pusher (2010)
Quarantine,2008,R,10 Oct 2008,89 min,"Horror, Thriller",John Erick Dowdle,6 nominations.,6.0,"$31,691,811",Quarantine (2008)
The Racket,1951,APPROVED,N/A,88 min,"Crime, Drama, Film-Noir","John Cromwell, Mel Ferrer, Tay Garnett, Nicholas Ray, Sherman Todd",N/A,6.8,N/A,The Racket (1951)
Der Regenmacher,1980,N/A,N/A,N/A,N/A,Ludwig Cremer,N/A,7.2,N/A,Der Regenmacher (1980)
The Rainmaker,1982,N/A,24 Oct 1982,N/A,Drama,John Frankenheimer,1 win & 3 nominations.,7.0,N/A,The Rainmaker (1982)
The Rains of Ranchipur,1955,APPROVED,14 Dec 1955,104 min,"Adventure, Drama, Romance",Jean Negulesco,N/A,5.9,N/A,The Rains of Ranchipur (1955)
Ramgarh Ke Sholay,1991,N/A,21 Jun 1991,123 min,"Action, Comedy, Crime",Ajit Dewani,N/A,5.1,N/A,Ramgarh Ke Sholay (1991)
Ransom,1996,R,08 Nov 1996,121 min,"Action, Crime, Thriller",Ron Howard,Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.,6.6,N/A,Ransom (1996)
Rear Window,1998,NOT RATED,22 Nov 1998,89 min,"Crime, Drama, Mystery",Jeff Bleckner,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,5.6,N/A,Rear Window (1998)
Red Dawn,2012,PG-13,21 Nov 2012,93 min,"Action, Sci-Fi, Thriller",Dan Bradley,1 win & 4 nominations.,5.4,"$44,794,936",Red Dawn (2012)
Red Dragon,2002,R,04 Oct 2002,124 min,"Crime, Drama, Thriller",Brett Ratner,4 wins & 10 nominations.,7.2,"$92,930,005",Red Dragon (2002)
The Red Rider,1934,APPROVED,16 Jul 1934,310 min,"Action, Adventure, Comedy",Lew Landers,N/A,7.2,N/A,The Red Rider (1934)
Reefer Madness: The Movie Musical,2005,R,16 Apr 2005,112 min,"Comedy, Drama, Horror",Andy Fickman,Won 1 Primetime Emmy. Another 3 wins & 10 nominations.,7.1,N/A,Reefer Madness: The Movie Musical (2005)
Return to Paradise,1998,R,14 Aug 1998,111 min,"Drama, Romance, Thriller",Joseph Ruben,2 nominations.,6.9,N/A,Return to Paradise (1998)
Rich and Famous,1981,R,09 Oct 1981,117 min,Drama,George Cukor,1 win.,5.8,N/A,Rich and Famous (1981)
"Ride Him, Cowboy",1932,PASSED,27 Aug 1932,55 min,"Romance, Western",Fred Allen,N/A,5.4,N/A,"Ride Him, Cowboy (1932)"
Riding High,1950,PASSED,12 Apr 1950,112 min,Comedy,Frank Capra,N/A,6.2,N/A,Riding High (1950)
The Ring,2002,PG-13,18 Oct 2002,115 min,"Horror, Mystery",Gore Verbinski,14 wins & 11 nominations.,7.1,"$128,579,698",The Ring (2002)
Rio Lobo,1970,G,18 Dec 1970,114 min,"Adventure, Western, Romance",Howard Hawks,N/A,6.8,N/A,Rio Lobo (1970)
Rio Rita,1942,PASSED,01 Apr 1942,91 min,"Comedy, Music, Musical",S. Sylvan Simon,N/A,6.6,N/A,Rio Rita (1942)
The Adventures of Robin Hood,1938,PG,14 May 1938,102 min,"Action, Adventure, Romance","Michael Curtiz, William Keighley",Won 3 Oscars. Another 3 wins & 2 nominations.,8.0,N/A,The Adventures of Robin Hood (1938)
The Story of Robin Hood and His Merrie Men,1952,APPROVED,26 Jun 1952,84 min,"Action, Adventure, Family",Ken Annakin,N/A,6.9,N/A,The Story of Robin Hood and His Merrie Men (1952)
Robin Hood,1973,G,08 Nov 1973,83 min,"Animation, Adventure, Comedy",Wolfgang Reitherman,Nominated for 1 Oscar. Another 1 win & 1 nomination.,7.6,N/A,Robin Hood (1973)
Robin Hood: Prince of Thieves,1991,PG-13,14 Jun 1991,143 min,"Action, Adventure, Drama",Kevin Reynolds,Nominated for 1 Oscar. Another 16 wins & 18 nominations.,6.9,N/A,Robin Hood: Prince of Thieves (1991)
Robin Hood,2010,PG-13,14 May 2010,140 min,"Action, Adventure, Drama",Ridley Scott,1 win & 14 nominations.,6.7,"$105,219,735",Robin Hood (2010)
RoboCop,2014,PG-13,12 Feb 2014,117 min,"Action, Crime, Sci-Fi",José Padilha,4 wins & 1 nomination.,6.2,"$50,666,882",RoboCop (2014)
Rock-a-Bye Baby,1958,APPROVED,23 Jul 1958,103 min,Comedy,Frank Tashlin,N/A,6.8,N/A,Rock-a-Bye Baby (1958)
Rollerball,2002,R,08 Feb 2002,98 min,"Action, Sci-Fi, Sport",John McTiernan,5 wins & 3 nominations.,3.0,"$18,894,427",Rollerball (2002)
The Roman Spring of Mrs. Stone,2003,R,04 May 2003,114 min,"Drama, Romance",Robert Allan Ackerman,Nominated for 2 Golden Globes. Another 15 nominations.,6.5,N/A,The Roman Spring of Mrs. Stone (2003)
Sabrina,1995,PG,15 Dec 1995,127 min,"Comedy, Drama",Sydney Pollack,Nominated for 2 Oscars. Another 2 wins & 4 nominations.,6.3,N/A,Sabrina (1995)
Sahara,1995,PG-13,25 Apr 1995,106 min,"Action, War",Brian Trenchard-Smith,N/A,6.8,N/A,Sahara (1995)
Satan's School for Girls,2000,TV-14,13 Mar 2000,87 min,"Drama, Horror",Christopher Leitch,N/A,4.3,N/A,Satan's School for Girls (2000)
Maybe It's Love,1935,TV-G,12 Jan 1935,63 min,"Romance, Comedy",William C. McGann,N/A,6.1,N/A,Maybe It's Love (1935)
Scandal Maker,2016,N/A,11 Nov 2016,N/A,"Comedy, Family",Byeong-ki Ahn,N/A,4.7,N/A,Scandal Maker (2016)
Scared Stiff,1953,UNRATED,27 Apr 1953,108 min,"Comedy, Horror, Musical",George Marshall,N/A,6.6,N/A,Scared Stiff (1953)
Scarface,1983,R,09 Dec 1983,170 min,"Crime, Drama",Brian De Palma,Nominated for 3 Golden Globes. Another 4 nominations.,8.3,"$656,161",Scarface (1983)
Scent of a Woman,1992,R,08 Jan 1993,156 min,Drama,Martin Brest,Won 1 Oscar. Another 5 wins & 13 nominations.,8.0,N/A,Scent of a Woman (1992)
School for Scoundrels,2006,PG-13,29 Sep 2006,100 min,Comedy,Todd Phillips,2 nominations.,5.9,"$17,787,157",School for Scoundrels (2006)
The Secret,2007,R,10 Oct 2007,92 min,"Drama, Romance",Vincent Perez,N/A,6.4,N/A,The Secret (2007)
Secret in Their Eyes,2015,PG-13,20 Nov 2015,111 min,"Crime, Drama, Mystery",Billy Ray,1 win & 3 nominations.,6.2,N/A,Secret in Their Eyes (2015)
The Secret Life of Walter Mitty,2013,PG,25 Dec 2013,113 min,"Adventure, Comedy, Drama",Ben Stiller,5 wins & 18 nominations.,7.3,"$33,223,430",The Secret Life of Walter Mitty (2013)
Secret of the Blue Room,1933,N/A,20 Jul 1933,66 min,"Drama, Horror, Mystery",Kurt Neumann,N/A,6.6,N/A,Secret of the Blue Room (1933)
Seventh Heaven,1937,APPROVED,25 Mar 1937,102 min,"Drama, Romance",Henry King,1 nomination.,6.9,N/A,Seventh Heaven (1937)
Strange Homecoming,1974,Not Rated,29 Oct 1974,73 min,"Action, Thriller",Lee H. Katzin,N/A,6.9,N/A,Strange Homecoming (1974)
Shadow of a Doubt,1991,N/A,28 Apr 1991,100 min,"Drama, Thriller",Karen Arthur,N/A,6.4,N/A,Shadow of a Doubt (1991)
The Shaggy Dog,1994,N/A,12 Nov 1994,96 min,"Family, Comedy, Fantasy",Dennis Dugan,N/A,5.1,N/A,The Shaggy Dog (1994)
The Shaggy Dog,2006,PG,10 Mar 2006,98 min,"Comedy, Family, Fantasy",Brian Robbins,2 wins & 5 nominations.,4.4,"$61,039,681",The Shaggy Dog (2006)
"Shake, Rattle and Rock!",1994,PG-13,26 Aug 1994,83 min,"Drama, Music",Allan Arkush,N/A,5.1,N/A,"Shake, Rattle and Rock! (1994)"
The Shakiest Gun in the West,1968,UNRATED,10 Jul 1968,101 min,"Comedy, Western",Alan Rafkin,N/A,6.4,N/A,The Shakiest Gun in the West (1968)
Shall We Dance,2004,PG-13,15 Oct 2004,106 min,"Comedy, Drama, Music",Peter Chelsom,7 nominations.,6.1,"$57,825,111",Shall We Dance (2004)
Shiva,1990,N/A,07 Dec 1990,161 min,Crime,Ram Gopal Varma,N/A,8.0,N/A,Shiva (1990)
Shiva,2006,N/A,15 Sep 2006,160 min,"Action, Crime, Drama",Ram Gopal Varma,N/A,4.2,N/A,Shiva (2006)
The Shopworn Angel,1938,PASSED,15 Jul 1938,85 min,"Drama, Romance, War",H.C. Potter,N/A,7.1,N/A,The Shopworn Angel (1938)
Shortcut to Happiness,2003,PG-13,17 Aug 2007,106 min,"Comedy, Drama, Fantasy",Alec Baldwin,N/A,5.6,N/A,Shortcut to Happiness (2003)
Show Boat,1936,APPROVED,17 May 1936,113 min,"Comedy, Drama, Musical",James Whale,1 win & 1 nomination.,7.6,N/A,Show Boat (1936)
Show Boat,1951,APPROVED,24 Sep 1951,108 min,"Drama, Family, Musical",George Sidney,Nominated for 2 Oscars. Another 1 win & 2 nominations.,7.0,N/A,Show Boat (1951)
Sideways,2009,NOT RATED,31 Oct 2009,124 min,Drama,Cellin Gluck,N/A,6.1,N/A,Sideways (2009)
Silk Stockings,1957,APPROVED,18 Jul 1957,117 min,"Comedy, Musical, Romance",Rouben Mamoulian,Nominated for 2 Golden Globes. Another 3 nominations.,6.9,N/A,Silk Stockings (1957)
The Sign of the Cross,1932,NOT RATED,10 Feb 1933,108 min,"Drama, History",Cecil B. DeMille,N/A,6.9,N/A,The Sign of the Cross (1932)
The Adventures of Ichabod and Mr. Toad,1949,APPROVED,01 Dec 1949,68 min,"Animation, Comedy, Family","James Algar, Clyde Geronimi, Jack Kinney",N/A,7.1,N/A,The Adventures of Ichabod and Mr. Toad (1949)
The Legend of Sleepy Hollow,1980,PG,31 Oct 1980,104 min,"Comedy, Fantasy, Horror",Henning Schellerup,N/A,6.4,N/A,The Legend of Sleepy Hollow (1980)
