remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
Alfie (2004) dir. Charles Shyer,2004,Alfie (1966) dir. Lewis Gilbert,1966,38,Alfie (2004) dir. Charles Shyer (2004),Alfie ,Alfie (2004),Alfie ,Alfie (1966)
Algiers (1938) dir. John Cromwell,1938,Pթpթ le Moko (1937) dir. Julien Duvivier,1937,1,Algiers (1938) dir. John Cromwell (1938),Algiers ,Algiers (1938),Pթpթ le Moko ,Pթpթ le Moko (1937)
All Quiet on the Western Front (1979) dir. Delbert Mann,1979,All Quiet on the Western Front (1930) dir. Lewis Milestone,1930,49,All Quiet on the Western Front (1979) dir. Delbert Mann (1979),All Quiet on the Western Front ,All Quiet on the Western Front (1979),All Quiet on the Western Front ,All Quiet on the Western Front (1930)
Always (1989) dir. Steven Spielberg,1989,A Guy Named Joe (1943) dir. Victor Fleming,1943,46,Always (1989) dir. Steven Spielberg (1989),Always ,Always (1989),A Guy Named Joe ,A Guy Named Joe (1943)
The Amityville Horror (2005) dir. Andrew Douglas,2005,"The Amityville Horror (1979) dir. Stuart RosenbergBased on the novel by Jay Anson",1979,26,The Amityville Horror (2005) dir. Andrew Douglas (2005),The Amityville Horror ,The Amityville Horror (2005),The Amityville Horror ,The Amityville Horror (1979)
And God Created Woman (1988) dir. Roger Vadim,1988,Et Dieu... crթa la femme (1956) dir. Roger Vadim,1956,32,And God Created Woman (1988) dir. Roger Vadim (1988),And God Created Woman ,And God Created Woman (1988),Et Dieu... crթa la femme ,Et Dieu... crթa la femme (1956)
And Soon the Darkness (2010) dir. Marcos Efron,2010,And Soon the Darkness (1970) dir. Robert Fuest,1970,40,And Soon the Darkness (2010) dir. Marcos Efron (2010),And Soon the Darkness ,And Soon the Darkness (2010),And Soon the Darkness ,And Soon the Darkness (1970)
Angels in the Outfield (1994) dir. William Dear,1994,Angels in the Outfield (1951) dir. Clarence Brown,1951,43,Angels in the Outfield (1994) dir. William Dear (1994),Angels in the Outfield ,Angels in the Outfield (1994),Angels in the Outfield ,Angels in the Outfield (1951)
Angel on My Shoulder (1980) dir. John Berry,1980,Angel on My Shoulder (1946) dir. Archie Mayo,1946,34,Angel on My Shoulder (1980) dir. John Berry (1980),Angel on My Shoulder ,Angel on My Shoulder (1980),Angel on My Shoulder ,Angel on My Shoulder (1946)
Annie (2014) dir. Will GluckAnnie (1999) dir. Rob Marshall,2014,"Annie (1982) dir. John HustonBoth based on the Thomas Meehan/Charles Strouse/Martin Charnin musical, which in turn came from the comic strip Little Orphan Annie, by Harold Gray",1982,32,Annie (2014) dir. Will GluckAnnie (1999) dir. Rob Marshall (2014),Annie ,Annie (2014),Annie ,Annie (1982)
Annavaram (2006) dir. Bhimaneni Srinivas Rao,2006,Thirupaachi (2005) dir. Perarasu,2005,1,Annavaram (2006) dir. Bhimaneni Srinivas Rao (2006),Annavaram ,Annavaram (2006),Thirupaachi ,Thirupaachi (2005)
