remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
Carrie (2013) dir. Kimberly Peirce,2013,"Carrie (1976) dir. Brian De PalmaBased on the novel by Stephen King",1976,37,Carrie (2013) dir. Kimberly Peirce (2013),Carrie ,Carrie (2013),Carrie ,Carrie (1976)
The Cat Creeps (1930) dir. Rupert Julian,1930,The Cat and the Canary (1927) dir. Paul Leni,1927,3,The Cat Creeps (1930) dir. Rupert Julian (1930),The Cat Creeps ,The Cat Creeps (1930),The Cat and the Canary ,The Cat and the Canary (1927)
The Cat and the Canary (1939) dir. Elliott Nugent,1939,The Cat and the Canary (1927) dir. Paul Leni,1927,12,The Cat and the Canary (1939) dir. Elliott Nugent (1939),The Cat and the Canary ,The Cat and the Canary (1939),The Cat and the Canary ,The Cat and the Canary (1927)
Cat People (1982) dir. Paul Schrader,1982,Cat People (1942) dir. Jacques Tourneur,1942,40,Cat People (1982) dir. Paul Schrader (1982),Cat People ,Cat People (1982),Cat People ,Cat People (1942)
Catch That Kid (2004) dir. Bart Freundlich,2004,Klatret¥Ë_¥Ë_sen (2002) dir. Hans Fabian,2002,2,Catch That Kid (2004) dir. Bart Freundlich (2004),Catch That Kid ,Catch That Kid (2004),Klatret¥Ë_¥Ë_sen ,Klatret¥Ë_¥Ë_sen (2002)
Carousel (1956) dir. Henry KingLiliom (1934) dir. Fritz Lang,1956,Liliom (1930) dir Frank Borzage,1930,26,Carousel (1956) dir. Henry KingLiliom (1934) dir. Fritz Lang (1956),Carousel ,Carousel (1956),Liliom ,Liliom (1930)
The Champ (1979) dir. Franco Zeffirelli,1979,The Champ (1931) dir. King Vidor,1931,48,The Champ (1979) dir. Franco Zeffirelli (1979),The Champ ,The Champ (1979),The Champ ,The Champ (1931)
Cheaper by the Dozen (2003),2003,Cheaper by the Dozen (1950),1950,53,Cheaper by the Dozen (2003) (2003),Cheaper by the Dozen ,Cheaper by the Dozen (2003),Cheaper by the Dozen ,Cheaper by the Dozen (1950)
Chickens Come Home (1931) dir. Hal Roach,1931,Love 'em and Weep (1927) dir. Fred Guiol,1927,4,Chickens Come Home (1931) dir. Hal Roach (1931),Chickens Come Home ,Chickens Come Home (1931),Love 'em and Weep ,Love 'em and Weep (1927)
The Children's Hour (1961) dir. William Wyler,1961,"These Three (1936) dir. William WylerBased on the 1934 play The Children's Hour, by Lillian Hellman",1936,25,The Children's Hour (1961) dir. William Wyler (1961),The Children's Hour ,The Children's Hour (1961),These Three ,These Three (1936)
A Christmas Carol (1999) dir. David Jones,1999,Scrooge (1935) dir. Henry Edwards,1935,64,A Christmas Carol (1999) dir. David Jones (1999),A Christmas Carol ,A Christmas Carol (1999),Scrooge ,Scrooge (1935)
A Christmas Carol (1984) dir. Clive Donner,1984,Scrooge (1935) dir. Henry Edwards,1935,49,A Christmas Carol (1984) dir. Clive Donner (1984),A Christmas Carol ,A Christmas Carol (1984),Scrooge ,Scrooge (1935)
Scrooge (1951) dir. Brian Desmond Hurst,1951,Scrooge (1935) dir. Henry Edwards,1935,16,Scrooge (1951) dir. Brian Desmond Hurst (1951),Scrooge ,Scrooge (1951),Scrooge ,Scrooge (1935)
A Christmas Carol (1938) dir. Edwin L. Marin,1938,Scrooge (1935) dir. Henry Edwards,1935,3,A Christmas Carol (1938) dir. Edwin L. Marin (1938),A Christmas Carol ,A Christmas Carol (1938),Scrooge ,Scrooge (1935)
A Christmas Carol (2009) dir. Robert Zemeckis,2009,Scrooge (1935) dir. Henry Edwards,1935,74,A Christmas Carol (2009) dir. Robert Zemeckis (2009),A Christmas Carol ,A Christmas Carol (2009),Scrooge ,Scrooge (1935)
Chloe (2009) dir. Atom Egoyan,2009,Nathalie... (2004) dir. Anne Fontaine,2004,5,Chloe (2009) dir. Atom Egoyan (2009),Chloe ,Chloe (2009),Nathalie... ,Nathalie... (2004)
Cinderella (2015),2015,Cinderella (1950),1950,65,Cinderella (2015) (2015),Cinderella ,Cinderella (2015),Cinderella ,Cinderella (1950)
City of Angels (1998) dir. Brad Silberling,1998,Der Himmel ¥Ë__ber Berlin or Wings of Desire (1987) dir. Wim Wenders,1987,11,City of Angels (1998) dir. Brad Silberling (1998),City of Angels ,City of Angels (1998),Der Himmel ¥Ë__ber Berlin or Wings of Desire ,Der Himmel ¥Ë__ber Berlin or Wings of Desire (1987)
Clash of the Titans (2010) dir. Louis Leterrier,2010,Clash of the Titans (1981) dir. Desmond Davis,1981,29,Clash of the Titans (2010) dir. Louis Leterrier (2010),Clash of the Titans ,Clash of the Titans (2010),Clash of the Titans ,Clash of the Titans (1981)
Classmates (2007) dir. K. Vijaya Bhaskar,2007,Classmates (2006) dir. Lal Jose,2006,1,Classmates (2007) dir. K. Vijaya Bhaskar (2007),Classmates ,Classmates (2007),Classmates ,Classmates (2006)
The Boy Cried Murder (1966) dir. George P. Breakston,1966,"The Window (1949) dir. Ted TetzlaffBased on The Boy Cried Murder by Cornell Woolrich",1949,17,The Boy Cried Murder (1966) dir. George P. Breakston (1966),The Boy Cried Murder ,The Boy Cried Murder (1966),The Window ,The Window (1949)
Cloak & Dagger (1984) dir. Richard Franklin,1984,"The Window (1949) dir. Ted TetzlaffBased on The Boy Cried Murder by Cornell Woolrich",1949,35,Cloak & Dagger (1984) dir. Richard Franklin (1984),Cloak & Dagger ,Cloak & Dagger (1984),The Window ,The Window (1949)
Colorado Territory (1949) dir. Raoul Walsh,1949,High Sierra (1941) dir. Raoul Walsh,1941,8,Colorado Territory (1949) dir. Raoul Walsh (1949),Colorado Territory ,Colorado Territory (1949),High Sierra ,High Sierra (1941)
The Computer Wore Tennis Shoes (1995) dir. Peyton Reed,1995,The Computer Wore Tennis Shoes (1969) dir. Robert Butler,1969,26,The Computer Wore Tennis Shoes (1995) dir. Peyton Reed (1995),The Computer Wore Tennis Shoes ,The Computer Wore Tennis Shoes (1995),The Computer Wore Tennis Shoes ,The Computer Wore Tennis Shoes (1969)
Confession (1937) dir. Joe May,1937,Mazurka (1935) dir. Willi Forst,1935,2,Confession (1937) dir. Joe May (1937),Confession ,Confession (1937),Mazurka ,Mazurka (1935)
The Counter Jumper (1922) dir. Larry Semon,1922,The Grocery Clerk (1919) dir. Larry Semon,1919,3,The Counter Jumper (1922) dir. Larry Semon (1922),The Counter Jumper ,The Counter Jumper (1922),The Grocery Clerk ,The Grocery Clerk (1919)
Cousins (1989) dir. Joel Schumacher,1989,"Cousin, cousine (1975) dir. Jean-Charles Tacchella",1975,14,Cousins (1989) dir. Joel Schumacher (1989),Cousins ,Cousins (1989),"Cousin, cousine ","Cousin, cousine (1975)"
Crackers (1984) dir. Louis Malle,1984,Big Deal on Madonna Street (1958) dir. Mario Monicelli,1958,26,Crackers (1984) dir. Louis Malle (1984),Crackers ,Crackers (1984),Big Deal on Madonna Street ,Big Deal on Madonna Street (1958)
The Crazies (2010) dir. Breck Eisner,2010,The Crazies (1973) dir. George A. Romero,1973,37,The Crazies (2010) dir. Breck Eisner (2010),The Crazies ,The Crazies (2010),The Crazies ,The Crazies (1973)
Crime School (1938) dir. Lewis Seiler,1938,The Mayor of Hell (1933) dir. Archie Mayo & Michael Curtiz,1933,5,Crime School (1938) dir. Lewis Seiler (1938),Crime School ,Crime School (1938),The Mayor of Hell ,The Mayor of Hell (1933)
Criminal (2004) dir. Gregory Jacobs,2004,Nueve reinas (2000) dir. Fabi¥Ë_¥Ë_n Bielinsky,2000,4,Criminal (2004) dir. Gregory Jacobs (2004),Criminal ,Criminal (2004),Nueve reinas ,Nueve reinas (2000)
D.O.A. (1988) dir. Annabel Jankel & Rocky Morton,1988,D.O.A. (1950) dir. Rudolph Mat’©,1950,38,D.O.A. (1988) dir. Annabel Jankel & Rocky Morton (1988),D.O.A. ,D.O.A. (1988),D.O.A. ,D.O.A. (1950)
Dante's Inferno (1935) dir. Harry Lachman,1935,Dante's Inferno (1924) dir. Henry Otto,1924,11,Dante's Inferno (1935) dir. Harry Lachman (1935),Dante's Inferno ,Dante's Inferno (1935),Dante's Inferno ,Dante's Inferno (1924)
The Dark Mirror (1984) dir. Richard Lang,1984,The Dark Mirror (1946) dir. Robert Siodmak,1946,38,The Dark Mirror (1984) dir. Richard Lang (1984),The Dark Mirror ,The Dark Mirror (1984),The Dark Mirror ,The Dark Mirror (1946)
Stolen Hours (1963) dir. Daniel Petrie,1963,"Dark Victory (1939) dir. Edmund GouldingBased on the play by George Emerson Brewer Jr. and Bertram Bloch",1939,24,Stolen Hours (1963) dir. Daniel Petrie (1963),Stolen Hours ,Stolen Hours (1963),Dark Victory ,Dark Victory (1939)
Dark Victory (1976) dir. Robert Butler,1976,"Dark Victory (1939) dir. Edmund GouldingBased on the play by George Emerson Brewer Jr. and Bertram Bloch",1939,37,Dark Victory (1976) dir. Robert Butler (1976),Dark Victory ,Dark Victory (1976),Dark Victory ,Dark Victory (1939)
Dark Water (2005) dir. Walter Salles,2005,Dark Water (2002) dir. Hideo Nakata,2002,3,Dark Water (2005) dir. Walter Salles (2005),Dark Water ,Dark Water (2005),Dark Water ,Dark Water (2002)
Dawn of the Dead (2004) dir. Zack Snyder,2004,Dawn of the Dead (1978) dir. George A. Romero,1978,26,Dawn of the Dead (2004) dir. Zack Snyder (2004),Dawn of the Dead ,Dawn of the Dead (2004),Dawn of the Dead ,Dawn of the Dead (1978)
The Dawn Patrol (1938) dir. Edmund Goulding,1938,The Dawn Patrol (1930) dir. Howard Hawks,1930,8,The Dawn Patrol (1938) dir. Edmund Goulding (1938),The Dawn Patrol ,The Dawn Patrol (1938),The Dawn Patrol ,The Dawn Patrol (1930)
Day of the Dead (2008) dir. Steve Miner,2008,Day of the Dead (1985) dir. George A. Romero,1985,23,Day of the Dead (2008) dir. Steve Miner (2008),Day of the Dead ,Day of the Dead (2008),Day of the Dead ,Day of the Dead (1985)
The Day the Earth Stood Still (2008) dir. Scott Derrickson,2008,The Day the Earth Stood Still (1951) dir. Robert Wise,1951,57,The Day the Earth Stood Still (2008) dir. Scott Derrickson (2008),The Day the Earth Stood Still ,The Day the Earth Stood Still (2008),The Day the Earth Stood Still ,The Day the Earth Stood Still (1951)
Dead of Winter (1987) dir. Arthur Penn,1987,My Name Is Julia Ross (1945) dir. Joseph H. Lewis,1945,42,Dead of Winter (1987) dir. Arthur Penn (1987),Dead of Winter ,Dead of Winter (1987),My Name Is Julia Ross ,My Name Is Julia Ross (1945)
Death at a Funeral (2010) dir. Neil LaBute,2010,Death at a Funeral (2007) dir. Frank Oz,2007,3,Death at a Funeral (2010) dir. Neil LaBute (2010),Death at a Funeral ,Death at a Funeral (2010),Death at a Funeral ,Death at a Funeral (2007)
Death Race (2008) dir. Paul W.S. Anderson,2008,Death Race 2000 (1975) dir. Paul Bartel,1975,33,Death Race (2008) dir. Paul W.S. Anderson (2008),Death Race ,Death Race (2008),Death Race 2000 ,Death Race 2000 (1975)
Death Wish (2017) dir. Eli Roth,2017,Death Wish (1974) dir. Michael Winner,1974,43,Death Wish (2017) dir. Eli Roth (2017),Death Wish ,Death Wish (2017),Death Wish ,Death Wish (1974)
The Debt (2011) dir. John Madden,2011,The Debt (2007) dir. Assaf Bernstein,2007,4,The Debt (2011) dir. John Madden (2011),The Debt ,The Debt (2011),The Debt ,The Debt (2007)
The Defiant Ones (1986) dir. David Lowell Rich,1986,The Defiant Ones (1958) dir. Stanley Kramer,1958,28,The Defiant Ones (1986) dir. David Lowell Rich (1986),The Defiant Ones ,The Defiant Ones (1986),The Defiant Ones ,The Defiant Ones (1958)
The Departed (2006) dir. Martin Scorsese,2006,Infernal Affairs (2002) dir. Wai Keung Lau & Siu Fai Mak,2002,4,The Departed (2006) dir. Martin Scorsese (2006),The Departed ,The Departed (2006),Infernal Affairs ,Infernal Affairs (2002)
Desire (1936) dir. Frank Borzage,1936,Happy Days in Aranjuez (1933) dir. Johannes Meyer,1933,3,Desire (1936) dir. Frank Borzage (1936),Desire ,Desire (1936),Happy Days in Aranjuez ,Happy Days in Aranjuez (1933)
Desperate Hours (1990) dir. Michael Cimino,1990,"The Desperate Hours (1955) dir. William WylerBased on the novel and play by Joseph Hayes",1955,35,Desperate Hours (1990) dir. Michael Cimino (1990),Desperate Hours ,Desperate Hours (1990),The Desperate Hours ,The Desperate Hours (1955)
Destry Rides Again (1939) dir. George Marshall,1939,Destry Rides Again (1932) dir. Benjamin Stoloff,1932,7,Destry Rides Again (1939) dir. George Marshall (1939),Destry Rides Again ,Destry Rides Again (1939),Destry Rides Again ,Destry Rides Again (1932)
Destry (1954) dir. George Marshall,1954,Destry Rides Again (1932) dir. Benjamin Stoloff,1932,22,Destry (1954) dir. George Marshall (1954),Destry ,Destry (1954),Destry Rides Again ,Destry Rides Again (1932)
Le Deuxi’åme Souffle (2007) dir. Alain Corneau,2007,Le Deuxi’åme Souffle (1966) dir. Jean-Pierre Melville,1966,41,Le Deuxi’åme Souffle (2007) dir. Alain Corneau (2007),Le Deuxi’åme Souffle ,Le Deuxi’åme Souffle (2007),Le Deuxi’åme Souffle ,Le Deuxi’åme Souffle (1966)
Diabolique (1996) dir. Jeremiah S. Chechik,1996,"Les Diaboliques (1955) dir. Henri-Georges ClouzotFrom the novel by Pierre Boileau and Thomas Narcejac",1955,41,Diabolique (1996) dir. Jeremiah S. Chechik (1996),Diabolique ,Diabolique (1996),Les Diaboliques ,Les Diaboliques (1955)
Diamond Horseshoe (1945) dir. George Seaton,1945,The Barker (1928) dir. George Fitzmaurice,1928,17,Diamond Horseshoe (1945) dir. George Seaton (1945),Diamond Horseshoe ,Diamond Horseshoe (1945),The Barker ,The Barker (1928)
Die Rothschilds (1940) dir. Erich Waschneck,1940,The House of Rothschild (1934) dir. Alfred L. Werker,1934,6,Die Rothschilds (1940) dir. Erich Waschneck (1940),Die Rothschilds ,Die Rothschilds (1940),The House of Rothschild ,The House of Rothschild (1934)
Dirty Rotten Scoundrels (1988) dir. Frank Oz,1988,Bedtime Story (1964) dir. Ralph Levy,1964,24,Dirty Rotten Scoundrels (1988) dir. Frank Oz (1988),Dirty Rotten Scoundrels ,Dirty Rotten Scoundrels (1988),Bedtime Story ,Bedtime Story (1964)
Dr. Jekyll and Mr. Hyde (1941) dir. Victor Fleming,1941,Dr. Jekyll and Mr. Hyde (1931) dir. Rouben Mamoulian,1931,10,Dr. Jekyll and Mr. Hyde (1941) dir. Victor Fleming (1941),Dr. Jekyll and Mr. Hyde ,Dr. Jekyll and Mr. Hyde (1941),Dr. Jekyll and Mr. Hyde ,Dr. Jekyll and Mr. Hyde (1931)
Dr. M (1990) dir. Claude Chabrol,1990,Dr. Mabuse the Gambler (1922) dir. Fritz Lang,1922,68,Dr. M (1990) dir. Claude Chabrol (1990),Dr. M ,Dr. M (1990),Dr. Mabuse the Gambler ,Dr. Mabuse the Gambler (1922)
Yugandhar (1979) dir. K. S. R. Das,1979,Don (1978) dir. Chandra Barot,1978,1,Yugandhar (1979) dir. K. S. R. Das (1979),Yugandhar ,Yugandhar (1979),Don ,Don (1978)
Billa (1980) dir. R. Krishnamurthy,1980,Don (1978) dir. Chandra Barot,1978,2,Billa (1980) dir. R. Krishnamurthy (1980),Billa ,Billa (1980),Don ,Don (1978)
Sobharaj (1986) dir. Sasikumar,1986,Don (1978) dir. Chandra Barot,1978,8,Sobharaj (1986) dir. Sasikumar (1986),Sobharaj ,Sobharaj (1986),Don ,Don (1978)
Billa (2007) dir. VishnuvardhanDon (2006) dir. Farhan Akhtar,2007,Don (1978) dir. Chandra Barot,1978,29,Billa (2007) dir. VishnuvardhanDon (2006) dir. Farhan Akhtar (2007),Billa ,Billa (2007),Don ,Don (1978)
Billa (2009) dir. Meher Ramesh,2009,Don (1978) dir. Chandra Barot,1978,31,Billa (2009) dir. Meher Ramesh (2009),Billa ,Billa (2009),Don ,Don (1978)
A Dog of Flanders (1999) dir. Kevin Brodie,1999,A Dog of Flanders (1959) dir. James B. Clark,1959,40,A Dog of Flanders (1999) dir. Kevin Brodie (1999),A Dog of Flanders ,A Dog of Flanders (1999),A Dog of Flanders ,A Dog of Flanders (1959)
Dorian Gray (2009) dir. Oliver Parker,2009,The Picture of Dorian Gray (1945) dir. Albert Lewin,1945,64,Dorian Gray (2009) dir. Oliver Parker (2009),Dorian Gray ,Dorian Gray (2009),The Picture of Dorian Gray ,The Picture of Dorian Gray (1945)
Down (2001) dir. Dick Maas,2001,De Lift (1983) dir. Dick Maas,1983,18,Down (2001) dir. Dick Maas (2001),Down ,Down (2001),De Lift ,De Lift (1983)
Down and Out in Beverly Hills (1986) dir. Paul Mazursky,1986,Boudu sauv’© des eaux (1932) dir. Jean Renoir,1932,54,Down and Out in Beverly Hills (1986) dir. Paul Mazursky (1986),Down and Out in Beverly Hills ,Down and Out in Beverly Hills (1986),Boudu sauv’© des eaux ,Boudu sauv’© des eaux (1932)
Heaven Can Wait (1978) dir. Warren Beatty & Buck Henry,1978,Here Comes Mr. Jordan (1941) dir. Alexander Hall,1941,37,Heaven Can Wait (1978) dir. Warren Beatty & Buck Henry (1978),Heaven Can Wait ,Heaven Can Wait (1978),Here Comes Mr. Jordan ,Here Comes Mr. Jordan (1941)
Down to Earth (2001) dir. Chris Weitz & Paul Weitz,2001,Here Comes Mr. Jordan (1941) dir. Alexander Hall,1941,60,Down to Earth (2001) dir. Chris Weitz & Paul Weitz (2001),Down to Earth ,Down to Earth (2001),Here Comes Mr. Jordan ,Here Comes Mr. Jordan (1941)
Dreaming Lips (1937) dir. Paul Czinner,1937,Dreaming Lips (1932) dir. Paul Czinner,1932,5,Dreaming Lips (1937) dir. Paul Czinner (1937),Dreaming Lips ,Dreaming Lips (1937),Dreaming Lips ,Dreaming Lips (1932)
Dumbo (2019) dir. Tim Burton,2019,Dumbo (1941) dir. Ben Sharpsteen,1941,78,Dumbo (2019) dir. Tim Burton (2019),Dumbo ,Dumbo (2019),Dumbo ,Dumbo (1941)
The Echo (2008) dir. Yam Laranas,2008,Sigaw (2004) dir. Yam Laranas,2004,4,The Echo (2008) dir. Yam Laranas (2008),The Echo ,The Echo (2008),Sigaw ,Sigaw (2004)
EDtv (1999) dir. Ron Howard,1999,"Louis 19, King of the Airwaves (Louis 19, le roi des ondes) (1994) dir. Michel Poulette",1994,5,EDtv (1999) dir. Ron Howard (1999),EDtv ,EDtv (1999),"Louis 19, King of the Airwaves ","Louis 19, King of the Airwaves (1994)"
Sri Mahalakshmi (2007) dir. Vijayan,2007,Groundhog Day (1993) dir. Harold Ramis,1993,14,Sri Mahalakshmi (2007) dir. Vijayan (2007),Sri Mahalakshmi ,Sri Mahalakshmi (2007),Groundhog Day ,Groundhog Day (1993)
¥Ë_¥Ë_ gi¥Ë_¥Ë_ ieri (2004) dir. Giulio Manfredonia,2004,Groundhog Day (1993) dir. Harold Ramis,1993,11,¥Ë_¥Ë_ gi¥Ë_¥Ë_ ieri (2004) dir. Giulio Manfredonia (2004),¥Ë_¥Ë_ gi¥Ë_¥Ë_ ieri ,¥Ë_¥Ë_ gi¥Ë_¥Ë_ ieri (2004),Groundhog Day ,Groundhog Day (1993)
Ellam Avan Seyal (2008) dir. Shaji Kailas,2008,Chinthamani Kolacase (2006) dir. Shaji Kailas,2006,2,Ellam Avan Seyal (2008) dir. Shaji Kailas (2008),Ellam Avan Seyal ,Ellam Avan Seyal (2008),Chinthamani Kolacase ,Chinthamani Kolacase (2006)
Endless Love (2014) dir. Shana Feste,2014,"Endless Love (1981) dir. Franco ZeffirelliBased on the novel by Scott Spencer",1981,33,Endless Love (2014) dir. Shana Feste (2014),Endless Love ,Endless Love (2014),Endless Love ,Endless Love (1981)
Escapade (1935) dir. Robert Z. Leonard,1935,Maskerade (1934) dir. Willi Forst,1934,1,Escapade (1935) dir. Robert Z. Leonard (1935),Escapade ,Escapade (1935),Maskerade ,Maskerade (1934)
Evil Dead (2013) dir. Fede Alvarez,2013,The Evil Dead (1981) dir. Sam Raimi,1981,32,Evil Dead (2013) dir. Fede Alvarez (2013),Evil Dead ,Evil Dead (2013),The Evil Dead ,The Evil Dead (1981)
The Eye (2008) dir. David Moreau & Xavier Palud,2008,The Eye (2002) dir. Oxide Pang & Danny Pang,2002,6,The Eye (2008) dir. David Moreau & Xavier Palud (2008),The Eye ,The Eye (2008),The Eye ,The Eye (2002)
Excursion to the Moon (1908) dir. Segundo de Chom¥Ë__n,1908,A Trip to the Moon (1902) dir. Georges M’©li’ås,1902,6,Excursion to the Moon (1908) dir. Segundo de Chom¥Ë__n (1908),Excursion to the Moon ,Excursion to the Moon (1908),A Trip to the Moon ,A Trip to the Moon (1902)
The Ten Commandments (1956) dir. Cecil B. Demille,1956,The Ten Commandments (1923) dir. Cecil B. Demille,1923,33,The Ten Commandments (1956) dir. Cecil B. Demille (1956),The Ten Commandments ,The Ten Commandments (1956),The Ten Commandments ,The Ten Commandments (1923)
Exodus: Gods and Kings (2016) dir. Ridley Scott,2016,The Ten Commandments (1923) dir. Cecil B. Demille,1923,93,Exodus: Gods and Kings (2016) dir. Ridley Scott (2016),Exodus: Gods and Kings ,Exodus: Gods and Kings (2016),The Ten Commandments ,The Ten Commandments (1923)
The Experiment (2010) dir. Paul Scheuring,2010,Das Experiment (2001) dir. Oliver Hirschbiegel,2001,9,The Experiment (2010) dir. Paul Scheuring (2010),The Experiment ,The Experiment (2010),Das Experiment ,Das Experiment (2001)
Fame (2009) dir. Kevin Tancharoen,2009,Fame (1980) dir. Alan Parker,1980,29,Fame (2009) dir. Kevin Tancharoen (2009),Fame ,Fame (2009),Fame ,Fame (1980)
Fatal Attraction (1987) dir. Adrian Lyne,1987,Diversion (1980) dir. James Dearden,1980,7,Fatal Attraction (1987) dir. Adrian Lyne (1987),Fatal Attraction ,Fatal Attraction (1987),Diversion ,Diversion (1980)
Father of the Bride (1991) dir. Charles Shyer,1991,"Father of the Bride (1950) dir. Vincente MinnelliBased on the novel by Edward Streeter",1950,41,Father of the Bride (1991) dir. Charles Shyer (1991),Father of the Bride ,Father of the Bride (1991),Father of the Bride ,Father of the Bride (1950)
Fathers' Day (1997) dir. Ivan Reitman,1997,Les Comp’åres (1983) dir. Francis Veber,1983,14,Fathers' Day (1997) dir. Ivan Reitman (1997),Fathers' Day ,Fathers' Day (1997),Les Comp’åres ,Les Comp’åres (1983)
FC Venus (2006) dir. Ute Wieland,2006,FC Venus (2005) dir. Joona Tena,2005,1,FC Venus (2006) dir. Ute Wieland (2006),FC Venus ,FC Venus (2006),FC Venus ,FC Venus (2005)
The Fiend Who Walked the West (1958) dir. Gordon Douglas,1958,Kiss of Death (1947) dir. Henry Hathaway,1947,11,The Fiend Who Walked the West (1958) dir. Gordon Douglas (1958),The Fiend Who Walked the West ,The Fiend Who Walked the West (1958),Kiss of Death ,Kiss of Death (1947)
The Firm (2009) dir. Nick Love,2009,The Firm (1988) dir. Alan Clarke,1988,21,The Firm (2009) dir. Nick Love (2009),The Firm ,The Firm (2009),The Firm ,The Firm (1988)
A Fistful of Dollars/Per un pugno di dollari (1964) dir. Sergio Leone,1964,Yojimbo (1961) dir. Akira Kurosawa,1961,3,A Fistful of Dollars/Per un pugno di dollari (1964) dir. Sergio Leone (1964),A Fistful of Dollars/Per un pugno di dollari ,A Fistful of Dollars/Per un pugno di dollari (1964),Yojimbo ,Yojimbo (1961)
Back from Eternity (1956) dir. John Farrow,1956,Five Came Back (1939) dir. John Farrow,1939,17,Back from Eternity (1956) dir. John Farrow (1956),Back from Eternity ,Back from Eternity (1956),Five Came Back ,Five Came Back (1939)
Los que volvieron (1948) dir. Alejandro Galindo,1948,Five Came Back (1939) dir. John Farrow,1939,9,Los que volvieron (1948) dir. Alejandro Galindo (1948),Los que volvieron ,Los que volvieron (1948),Five Came Back ,Five Came Back (1939)
Flatliners (2017) dir. Niels Arden Oplev,2017,Flatliners (1990) dir. Joel Schumacher,1990,27,Flatliners (2017) dir. Niels Arden Oplev (2017),Flatliners ,Flatliners (2017),Flatliners ,Flatliners (1990)
The Defiant Ones (1986) dir. David Lowell Rich,1986,The Defiant Ones (1958) dir. Stanley Kramer,1958,28,The Defiant Ones (1986) dir. David Lowell Rich (1986),The Defiant Ones ,The Defiant Ones (1986),The Defiant Ones ,The Defiant Ones (1958)
Fled (1996) dir. Kevin Hooks,1996,The Defiant Ones (1958) dir. Stanley Kramer,1958,38,Fled (1996) dir. Kevin Hooks (1996),Fled ,Fled (1996),The Defiant Ones ,The Defiant Ones (1958)
Flight of the Phoenix (2004) dir. John Moore,2004,"The Flight of the Phoenix (1965) Robert AldrichBased on the novel by Elleston Trevor",1965,39,Flight of the Phoenix (2004) dir. John Moore (2004),Flight of the Phoenix ,Flight of the Phoenix (2004),The Flight of the Phoenix ,The Flight of the Phoenix (1965)
Flipper (1996) dir. Alan Shapiro,1996,Flipper (1963) dir. James B. Clark,1963,33,Flipper (1996) dir. Alan Shapiro (1996),Flipper ,Flipper (1996),Flipper ,Flipper (1963)
Floating Weeds (1959) dir. Yasujir¥Ë_¥Ë_ Ozu,1959,A Story of Floating Weeds (1934) dir. Yasujir¥Ë_¥Ë_ Ozu,1934,25,Floating Weeds (1959) dir. Yasujir¥Ë_¥Ë_ Ozu (1959),Floating Weeds ,Floating Weeds (1959),A Story of Floating Weeds ,A Story of Floating Weeds (1934)
Flubber (1997) dir. Les Mayfield,1997,The Absent-Minded Professor (1961) dir. Robert Stevenson,1961,36,Flubber (1997) dir. Les Mayfield (1997),Flubber ,Flubber (1997),The Absent-Minded Professor ,The Absent-Minded Professor (1961)
The Fly (1986) dir. David Cronenberg,1986,The Fly (1958) dir. Kurt Neumann,1958,28,The Fly (1986) dir. David Cronenberg (1986),The Fly ,The Fly (1986),The Fly ,The Fly (1958)
The Fog (2005) dir. Rupert Wainwright,2005,The Fog (1980) dir. John Carpenter,1980,25,The Fog (2005) dir. Rupert Wainwright (2005),The Fog ,The Fog (2005),The Fog ,The Fog (1980)
Footloose (2011) dir. Craig Brewer,2011,Footloose (1984) dir. Herbert Ross,1984,27,Footloose (2011) dir. Craig Brewer (2011),Footloose ,Footloose (2011),Footloose ,Footloose (1984)
Forbidden Fruit (1921) dir. Cecil B. DeMille,1921,The Golden Chance (1915) dir. Cecil B. DeMille,1915,6,Forbidden Fruit (1921) dir. Cecil B. DeMille (1921),Forbidden Fruit ,Forbidden Fruit (1921),The Golden Chance ,The Golden Chance (1915)
Four Sons (1940) dir. Archie Mayo,1940,Four Sons (1928) dir. John Ford,1928,12,Four Sons (1940) dir. Archie Mayo (1940),Four Sons ,Four Sons (1940),Four Sons ,Four Sons (1928)
Freaky Friday (1995) dir. Melanie Mayron,1995,"Freaky Friday (1976) dir. Gary NelsonBased on the novel by Mary Rodgers",1976,19,Freaky Friday (1995) dir. Melanie Mayron (1995),Freaky Friday ,Freaky Friday (1995),Freaky Friday ,Freaky Friday (1976)
Freaky Friday (2003) dir. Mark Waters,2003,"Freaky Friday (1976) dir. Gary NelsonBased on the novel by Mary Rodgers",1976,27,Freaky Friday (2003) dir. Mark Waters (2003),Freaky Friday ,Freaky Friday (2003),Freaky Friday ,Freaky Friday (1976)
Free State of Jones (2016) dir. Gary Ross,2016,Tap Roots (1948) dir. George Marshall,1948,68,Free State of Jones (2016) dir. Gary Ross (2016),Free State of Jones ,Free State of Jones (2016),Tap Roots ,Tap Roots (1948)
Friday the 13th (2009) dir. Marcus Nispel,2009,Friday the 13th (1980) dir. Sean S. Cunningham,1980,29,Friday the 13th (2009) dir. Marcus Nispel (2009),Friday the 13th ,Friday the 13th (2009),Friday the 13th ,Friday the 13th (1980)
Fright Night (2011) dir. Craig Gillespie,2011,Fright Night (1985) dir. Tom Holland,1985,26,Fright Night (2011) dir. Craig Gillespie (2011),Fright Night ,Fright Night (2011),Fright Night ,Fright Night (1985)
